M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
5.8609,7.3403,5.0938,10.073,9.3514,14.928,10.103,12.1358,12.7974,19.0488,21.2019,20.7748,5.6006,9.1046,5.6223,7.2089,12.6204,17.152,12.0652,14.3988,16.1321,22.6169,20.2647,20.8838
7.7304,4.9651,11.2015,10.9998,11.5476,11.6245,11.7968,14.9442,18.8118,24.7519,11.7191,15.2855,4.7505,7.9148,9.0256,9.066,7.0754,15.0343,9.9567,14.4764,16.4285,19.583,20.3832,19.9602
6.0413,5.7604,7.7997,8.8539,7.4231,12.7432,16.2244,8.2862,15.1913,15.2341,21.5295,16.4153,4.8284,7.6829,10.129,7.4863,13.0402,16.4748,16.2389,15.5389,13.5148,13.1237,16.4829,21.0114
5.9707,6.5701,7.7838,14.0468,12.6355,13.5894,15.5426,16.5432,17.0662,20.863,20.8646,26.7799,5.6687,8.2216,9.6015,10.8369,9.8292,10.7622,12.0778,11.6826,8.243,14.4515,24.0901,16.1258
4.7587,5.0755,7.9089,10.6516,12.491,14.4951,11.6427,11.9313,21.3993,16.6319,17.7068,17.5437,5.3312,4.9164,10.2774,11.2751,11.4371,11.8997,13.4206,16.8929,16.2203,18.8434,21.1682,11.6287
6.1322,7.4995,6.4705,9.9039,13.0962,14.5305,16.8469,16.677,9.2607,20.6068,16.337,15.5418,7.5913,8.0889,6.6768,9.8177,10.9386,13.8273,13.1288,19.9751,14.1476,19.1499,18.3538,21.9507
3.9341,4.5553,8.7263,11.7926,10.1636,9.4689,12.0906,18.8988,17.5544,19.5316,16.3131,27.356,5.382,7.6896,5.0276,11.9219,12.6545,12.2081,15.9147,14.4434,18.4964,21.3046,22.3909,17.42
3.8155,6.7687,6.6356,9.0706,9.3759,14.9924,15.1447,17.9547,9.3384,9.2612,19.9762,18.4763,5.6375,9.6774,11.5923,12.2591,10.5054,12.7526,12.0135,16.7412,16.6405,18.5035,19.1,15.1501
6.8211,6.2821,9.2365,9.105,8.1949,10.083,12.2164,12.036,16.4042,19.6988,21.8865,25.3793,4.1723,5.5475,9.9285,8.2518,6.8334,14.9148,14.9586,14.3628,17.0362,20.028,23.6968,21.8968
5.9223,7.5878,5.5272,7.4242,15.6046,11.0408,11.1361,12.1535,18.0096,17.2974,16.2976,19.639,8.3838,4.7883,7.5374,11.9198,10.3332,6.6252,16.0606,18.4367,14.0625,18.251,21.7145,24.8012
6.6546,5.941,9.2397,14.2822,8.254,14.3895,13.1794,14.6148,20.6635,16.4682,18.9903,27.2829,5.1498,5.9748,8.5015,10.7109,12.5316,12.4977,14.2165,9.9259,14.8069,16.4565,15.9957,24.2664
5.0524,5.6948,6.7227,7.1421,16.5097,14.8844,12.7426,13.1415,15.5643,15.4825,27.0504,15.666,6.5947,5.1172,10.2264,12.1428,11.6859,10.8336,14.2496,8.6872,14.7119,5.2724,16.3158,15.6164
5.7036,5.7496,5.2503,10.6797,10.912,17.6898,14.9602,13.0537,19.4571,20.0978,14.896,21.3025,7.2535,8.3249,8.8644,8.634,9.9191,13.7508,18.1834,17.3447,16.7012,21.0547,25.6126,19.8844
5.9696,7.3189,11.1715,10.9537,10.7855,10.1559,11.2124,15.3479,13.5489,15.9591,26.4054,19.2233,5.4658,6.2641,8.8008,10.868,7.8425,14.2669,13.9328,15.5225,15.8623,12.5848,21.912,25.3926
7.3498,7.3373,7.729,9.5543,11.0253,14.567,8.9481,12.4537,12.3916,26.8017,17.4152,19.3818,6.5619,8.8246,7.0792,8.982,11.4905,11.6729,8.4764,15.8824,11.312,14.7727,18.1848,16.4305
5.3458,10.1385,7.9054,8.8589,7.5563,6.7498,12.2301,17.7638,14.3492,22.5726,23.7559,28.7659,3.784,6.4231,10.2222,6.9729,9.5175,14.6812,12.8665,17.5391,13.7453,16.4234,16.9822,22.9996
6.2129,6.9136,8.9101,10.5807,12.1167,16.0904,19.9389,17.2908,17.7203,21.3356,19.7799,22.3449,3.9222,6.3423,6.6883,6.3348,13.9482,15.1622,14.325,15.2464,19.2021,23.5023,20.6672,21.2459
4.6936,6.5619,8.9107,6.1617,12.4247,14.3728,12.398,20.0933,14.7529,16.4682,18.8779,17.169,4.5517,7.7775,5.2155,12.8625,14.5466,9.1145,15.0793,12.3843,13.0875,14.6814,19.8822,20.3953
5.7243,7.8339,7.6748,10.6633,11.4448,12.149,19.3829,9.7413,21.8321,20.2492,16.8728,23.9761,4.404,7.8163,10.6112,6.9804,13.3629,12.2809,12.7525,19.2416,15.9396,21.9603,21.6515,23.3131
5.0731,10.3803,7.5416,12.6568,14.0865,13.4546,11.911,18.3526,13.6488,16.8569,14.6804,23.5745,4.33,5.4209,7.5677,10.1602,9.8889,8.1339,16.8098,12.2429,15.2573,16.7729,23.1105,26.2567
5.5158,5.8053,7.8202,6.7684,11.0708,14.3724,10.2224,19.0216,18.1392,15.8141,25.5807,29.4829,4.549,5.7283,6.9317,10.2889,10.3221,14.6234,9.5381,15.9297,14.5712,16.4148,16.582,22.1074
7.2357,7.6507,7.7227,9.0929,7.4707,16.1961,10.3997,14.8299,17.7941,16.9489,26.4766,15.7264,7.5611,7.5355,6.8015,11.7578,10.1984,13.742,14.0241,13.8794,8.2012,17.4103,11.8926,21.8445
5.8503,6.1378,6.5297,11.2831,9.5879,13.2522,18.029,15.8476,14.2104,22.5286,19.3747,25.1905,4.6004,7.1165,7.6801,10.6546,12.6781,14.8262,15.1962,12.9403,13.0588,18.3282,27.2996,20.9717
6.0889,4.2951,5.9619,5.1971,7.8901,16.1924,17.9385,19.8775,13.0907,18.1014,18.5554,17.3304,6.7022,6.8483,6.1787,11.3357,12.4171,14.6615,12.7426,16.8743,13.4655,21.0815,19.1868,18.6807
5.5117,8.3985,8.5821,7.8179,13.436,13.0256,7.4859,9.1713,17.8581,20.1431,21.032,18.1784,5.7429,9.4805,11.7057,9.696,11.8161,10.6081,11.8301,14.2228,17.5218,21.0024,19.8086,22.682
4.9609,5.7522,7.7103,12.2429,11.5311,12.8891,14.3923,7.7712,16.149,14.436,17.2338,15.9413,5.5446,8.3761,7.0335,8.4295,12.5799,9.9488,12.4995,20.6815,18.8307,19.8021,14.7204,27.3054
4.5209,7.4457,10.0984,12.5244,15.1182,13.0767,16.5999,11.236,16.1487,13.7775,19.1889,16.5909,5.1314,6.4139,8.0802,10.1437,7.7464,10.977,11.5747,10.7128,12.3268,19.9835,17.6778,13.6468
4.6613,6.706,8.2368,7.9866,11.5687,10.5983,13.8262,12.567,15.6779,16.7978,12.3905,13.628,3.8649,8.3418,8.4144,8.3124,10.6279,10.8347,16.3565,16.6025,13.7097,12.5739,13.0301,26.5389
5.0793,11.754,6.2668,9.0422,11.0382,19.0961,12.951,15.915,17.8115,11.0368,14.8022,20.6915,5.5279,6.2463,10.2282,10.7684,7.4863,12.9252,16.7912,13.3753,14.9496,15.4922,21.5469,25.4952
7.0209,5.7616,9.125,8.956,9.832,10.3036,9.9467,18.0922,25.3171,21.4152,23.9289,26.5603,2.5169,5.5466,10.6699,8.4403,12.4389,14.7064,15.6282,14.2392,14.2434,19.7106,17.3979,25.5955
