M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
3.5737,4.6817,7.0149,8.7051,9.0962,13.2957,13.1922,9.4853,11.5838,13.0745,10.2708,13.6299,15.3397,9.6379,12.6528,13.6882,12.3441,10.8141,9.0746,8.0747,3.7057,5.7358,3.4386,3.1548
3.002,4.9157,5.2083,8.0989,6.4208,5.5944,15.8637,11.26,12.2265,16.2379,10.7301,13.7335,16.6501,18.8258,12.824,12.2978,11.6327,10.7473,11.305,5.615,7.6885,5.8125,4.3251,5.7202
4.4298,6.6566,6.4867,8.7653,7.0258,15.1334,9.1758,10.6875,13.5471,13.2519,12.1111,14.8783,16.9863,8.644,11.0785,8.5207,10.9707,11.0388,12.1646,6.8251,6.5326,6.1071,5.9368,3.6766
4.1818,5.7868,4.2436,6.2625,7.0917,10.1221,13.5293,11.4082,5.3983,13.7144,17.1664,14.2297,16.1075,16.0555,16.1956,11.4045,10.1819,10.932,12.7033,9.3079,4.6076,7.9503,5.7078,3.2664
4.2302,6.088,7.5217,7.562,6.07,7.2605,6.443,12.6738,7.7571,13.4646,14.6209,13.2895,12.3194,12.6276,12.8985,9.0528,16.2537,8.0119,10.0263,6.7367,8.0894,5.8711,4.8265,4.5146
4.7211,4.7943,4.4092,6.2542,6.9604,8.5911,12.429,9.9309,6.419,14.9157,12.2176,12.6672,16.093,13.3627,9.0309,10.7325,10.5842,10.1678,8.1813,6.1024,7.3722,5.6721,4.8992,5.6683
3.7537,5.766,7.0159,8.8535,8.0759,10.1513,8.6941,15.4527,11.5072,15.118,13.9731,8.638,13.3593,11.3744,11.5804,12.4126,12.3344,9.7653,8.1624,6.6391,5.6867,6.895,5.2399,4.1612
4.9926,5.8133,5.2393,4.7007,6.0715,4.6944,12.5155,8.4598,12.3746,11.9402,11.8868,15.165,11.0888,12.7672,10.4592,14.6954,11.854,8.7444,8.8734,5.7979,6.6582,7.7803,5.0873,3.7522
4.343,5.3696,5.4565,5.6189,9.466,7.8498,15.1469,10.9491,13.3339,10.194,9.9367,18.6935,14.5942,11.9707,11.6521,12.9444,13.2045,12.3388,9.6877,6.9364,8.2751,4.2357,5.5412,3.7964
3.5262,5.333,4.0898,5.4777,7.33,11.3011,11.0857,9.2406,15.3843,6.8053,10.2854,17.6914,14.8323,12.1333,15.8492,12.0126,8.403,10.4128,8.3615,8.4852,5.7108,6.5915,6.1988,4.3239
