M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
2.5635,-0.78,1.0624,-0.4198,0.6556,0.328,0.2258,-1.0628,-0.8407,-0.0165,-0.3805,-0.2523,-0.1,0.7,-0.4,-1.8,0.0,0.7,0.2,0.2,0.0,-1.4,-1.1,0.2
1.0721,0.2205,1.1189,1.0957,-0.7492,0.2584,0.3278,-0.4049,0.085,1.9772,0.2875,-0.5928,-0.9,-0.4,-0.0,-1.4,3.4,-0.6,-1.7,1.3,0.5,-0.0,0.2,4.4
-0.7245,1.6146,-0.6829,-0.8873,-0.3846,-0.4408,-0.9419,-0.8612,0.5516,0.4863,2.5357,-0.2991,-1.0,1.9,1.0,0.1,-1.5,-0.1,-0.0,-1.7,1.9,0.0,-0.2,1.8
-2.1472,1.6083,-0.845,-0.2218,1.5811,0.4752,1.251,0.5901,0.0213,0.0157,-0.635,0.6661,-1.1,0.5,-0.0,-1.0,-0.1,0.0,-0.1,-0.5,1.0,1.2,-0.8,-1.3
-0.0465,0.3438,-0.635,-0.5356,0.6183,-0.0942,0.801,0.4162,-1.8746,-0.947,-2.3554,0.2083,-0.0,1.5,-1.5,0.3,1.2,0.3,-0.2,0.8,0.2,6.2,0.0,2.4
1.9085,0.3688,-0.7701,0.0414,3.0136,-0.4067,1.1244,-0.5406,0.0461,2.1004,-0.1514,-1.3404,-0.1,3.6,1.7,-0.8,1.1,-1.2,-0.2,-3.2,2.6,-0.2,-0.5,0.1
0.1026,0.0618,-0.5522,-0.4691,1.3504,-0.4401,-0.5865,-2.3549,-0.017,0.1267,-0.5325,-0.4414,-1.9,-0.3,0.9,0.1,1.6,1.2,-2.1,-0.9,-0.5,2.3,1.9,-0.2
0.0914,-1.1114,-0.2723,0.0338,-0.2251,0.2113,1.9833,-0.7812,-1.7026,-0.9502,-0.6225,2.1247,1.1,1.1,2.0,0.1,-1.4,0.7,0.4,1.0,0.7,1.6,0.8,1.2
-1.4427,-2.2528,0.2286,0.3855,0.3986,-1.0383,-0.2582,0.5032,0.2726,0.133,-0.3369,1.1651,0.4,0.7,-0.2,-2.8,-2.5,-0.5,0.1,-0.1,0.8,-1.2,-2.6,-0.7
-1.6261,1.2931,-0.5468,0.4249,0.7101,-0.927,2.044,0.6003,1.5014,0.313,-0.4838,0.7035,0.2,-2.2,-0.5,5.3,-0.6,-1.1,-2.2,-0.3,-3.2,-1.0,-0.6,0.6
1.5919,1.0194,0.8974,1.5004,0.8114,0.1822,0.898,0.0126,-0.1398,0.6039,0.3984,-0.6541,-0.5,-0.6,-0.4,0.6,0.9,-3.2,-0.0,1.0,-0.9,-0.4,1.2,0.6
1.3054,0.6325,0.818,-0.6612,-1.0031,0.7878,-0.9313,-0.431,0.3017,0.1452,1.0349,0.9766,-1.3,0.0,-0.2,-3.3,-1.1,0.6,-4.0,1.0,-4.9,-2.1,1.4,-0.1
0.438,-0.0589,1.8456,-1.5734,1.7844,1.3501,-0.6684,0.076,-0.5806,0.908,0.9688,0.6171,0.1,1.9,-2.1,-1.1,-0.0,1.7,-0.0,-0.1,-0.3,-0.9,-0.7,0.4
0.8629,1.1067,0.4034,1.874,0.1767,1.1173,-0.0429,-1.2987,-0.4944,-0.8661,0.2517,-1.0155,-1.4,0.2,-0.5,-2.4,-1.2,1.9,-0.9,1.0,-0.3,-2.2,2.7,-1.2
0.4076,-1.8559,0.164,2.1695,-0.0965,-1.0064,0.3938,-1.2841,0.5782,0.1208,-0.4134,-1.4574,-0.6,-0.3,-1.9,-0.0,0.2,0.2,-3.3,0.8,-0.2,0.3,-0.1,0.3
1.0687,0.1174,0.5261,-1.0544,-0.5389,-0.4006,0.2409,-0.659,0.8774,-0.3912,0.1612,1.3421,0.3,-4.8,-3.1,0.6,3.2,0.0,-0.6,0.6,0.6,-1.7,0.3,0.1
0.8383,-0.0966,0.8856,-2.1025,-0.09,-0.1475,-0.0554,1.669,-0.1372,-0.5303,1.8034,-0.0846,-0.5,0.8,1.4,2.1,0.1,-0.7,-0.9,-1.3,0.0,0.3,1.3,-1.0
-1.3237,-1.1948,-1.7529,2.2847,1.6097,-1.0527,1.3491,1.0224,1.3742,0.3951,-1.5137,0.8418,0.3,-0.2,-1.3,4.2,4.5,2.4,0.9,0.1,1.9,4.2,-0.4,0.6
-0.4846,0.786,-0.5994,0.865,0.2136,0.048,1.744,1.4881,0.707,-1.3915,-0.1158,0.8282,0.6,1.3,-1.3,0.2,-0.2,-1.3,1.3,0.3,2.3,1.3,-0.1,0.2
0.4974,0.4695,-1.1701,0.9692,0.6148,0.753,-0.3522,-1.0562,-0.3294,0.0596,1.3834,0.6303,0.3,0.1,0.7,-0.8,0.4,-1.4,0.1,-0.8,0.2,-0.5,0.6,1.1
1.9379,-0.4125,-0.4538,-1.1931,0.8512,0.4295,-0.4243,-0.6953,1.0478,0.8517,0.1215,-1.0713,1.6,4.9,-1.1,0.6,1.2,0.3,0.1,-1.2,-3.3,-1.7,-1.9,-3.1
0.3014,0.1226,1.9409,-0.4444,-1.2366,1.6102,-1.8403,2.3679,0.5578,-0.0129,-1.7871,0.5922,0.5,-0.1,-0.0,-0.5,-0.1,-2.7,0.3,1.0,-0.3,0.3,0.1,0.7
-1.1007,-0.2093,-0.8544,0.5431,0.8918,1.2323,-1.5012,0.8116,0.1786,1.3558,0.5699,0.1393,-0.6,1.2,-2.1,1.7,2.3,-1.5,0.8,0.6,0.1,-0.2,-0.0,-4.6
0.4479,0.1963,0.2539,0.3726,-0.3994,-1.8001,-1.2682,2.0098,0.576,-0.3042,0.517,0.4676,-0.2,1.9,-0.6,2.4,-2.3,1.1,-2.9,0.5,-0.2,-0.4,-0.2,-3.5
0.3023,-0.3089,0.3618,-1.8121,-0.515,-0.1315,1.1604,0.4397,-0.6582,-0.3709,2.0431,1.4499,-0.9,1.8,-1.2,2.1,-1.4,0.2,0.8,-3.7,-1.2,-0.6,-1.0,-0.4
-0.4064,0.4107,-2.1141,0.7724,-0.0852,0.1433,0.9961,0.3164,1.6622,-0.1568,1.1107,1.7049,-0.5,0.4,0.3,1.4,0.7,-0.3,-0.5,0.1,0.9,0.4,-1.0,-0.1
1.3624,0.6418,0.5814,-0.5948,1.4033,0.4783,-0.0576,0.0783,0.1484,0.1907,1.1338,-0.9261,-0.5,0.2,2.3,0.9,0.4,-2.0,-0.2,0.6,-0.5,-0.1,3.6,-3.9
