M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
9.0,18.69,20.01,22.36,20.28,23.9,30.1,21.3,23.68,14.95,13.52,8.74,17.3,17.68,19.72,25.91,23.3,28.17,23.85,30.7,23.39,21.01,19.47,18.04
6.48,14.87,17.09,19.17,18.85,22.17,24.89,19.37,17.28,13.22,12.65,10.16,12.28,19.91,21.05,24.75,25.25,25.58,25.27,24.44,21.93,22.17,18.42,17.01
13.04,9.93,14.04,20.68,19.09,18.04,20.55,15.87,19.63,18.78,12.2,10.8,19.13,18.05,21.87,20.5,24.17,26.0,26.02,23.51,22.41,23.67,19.71,11.1
10.78,11.74,14.33,22.25,18.99,22.4,22.67,22.4,18.49,18.38,12.84,8.05,11.47,15.36,17.25,20.4,25.54,26.0,27.61,19.13,26.91,25.37,15.48,13.13
12.84,9.4,15.01,17.8,18.09,22.91,25.99,21.47,22.3,17.71,12.56,6.42,11.98,18.88,21.38,25.2,28.56,23.7,23.3,24.52,21.26,22.43,17.61,11.52
9.53,13.85,13.64,20.16,20.76,24.46,21.54,21.04,14.47,17.21,14.66,14.52,18.03,15.12,18.64,24.95,27.51,29.17,25.35,23.24,19.69,23.2,16.08,13.5
14.34,12.18,14.16,18.37,22.83,20.51,23.35,23.82,17.5,15.33,14.18,7.38,16.31,20.4,23.21,24.06,26.4,26.73,27.53,21.87,23.15,24.15,18.89,13.08
9.54,13.24,20.92,13.73,14.12,22.23,23.5,17.17,19.76,18.72,17.25,5.75,9.89,17.23,16.38,24.23,26.96,24.75,27.64,23.07,26.48,23.15,19.66,14.46
7.04,15.43,16.55,15.42,20.25,20.8,23.08,22.29,19.05,15.48,13.77,10.14,16.76,15.41,23.65,21.97,25.34,21.05,26.77,24.53,20.92,20.85,23.2,16.57
13.51,16.24,14.66,19.79,19.0,25.99,22.15,21.41,16.08,22.4,13.24,12.01,12.7,18.23,18.05,23.52,25.97,23.36,26.39,21.41,22.12,19.41,18.95,17.71
7.67,10.08,17.61,22.28,19.69,21.87,19.54,24.42,17.06,18.28,14.03,11.69,15.11,17.41,17.9,19.43,26.0,28.64,24.25,24.74,21.32,18.11,17.21,17.97
7.64,13.1,13.84,21.85,20.87,20.61,26.75,20.62,17.37,16.35,19.1,10.67,9.4,15.17,22.25,25.65,26.04,25.62,22.84,25.57,26.23,17.73,15.51,14.36
17.17,16.35,19.17,18.69,20.3,19.07,21.35,17.37,14.68,16.5,14.29,8.13,12.38,14.58,18.58,25.26,22.97,29.46,29.55,23.97,24.65,18.12,18.11,15.7
8.5,14.42,13.96,23.8,19.14,19.97,25.26,16.95,18.66,11.38,14.93,9.21,15.01,17.42,22.33,19.63,24.93,25.96,27.39,21.6,21.08,16.77,19.96,15.97
12.61,12.93,19.0,16.48,23.55,22.99,20.02,22.21,20.38,18.09,16.53,9.52,14.37,15.44,17.98,21.64,26.31,28.92,27.48,26.23,25.13,23.59,18.55,17.18
8.2,12.22,15.26,14.72,20.95,18.01,25.62,18.38,22.49,17.87,13.0,7.09,7.73,18.88,21.59,23.58,27.8,22.63,24.2,27.48,22.89,18.27,17.15,12.19
10.36,9.98,18.4,21.57,19.55,22.29,19.74,20.4,20.82,14.44,12.89,12.19,11.86,16.36,20.18,17.77,28.07,23.49,23.55,25.0,20.68,22.0,22.43,13.78
11.93,12.39,21.15,22.09,23.86,19.96,25.28,21.4,20.64,16.06,13.54,10.3,16.46,18.86,18.97,21.49,23.48,31.5,26.24,24.27,24.1,22.78,16.7,16.27
10.55,11.58,18.85,17.08,20.48,19.18,16.67,23.07,23.51,17.13,9.78,7.81,12.97,13.82,18.1,26.27,24.87,23.59,26.0,27.05,23.62,19.38,17.27,14.88
15.19,17.75,14.34,18.94,16.98,19.41,24.17,23.79,22.89,20.09,16.38,9.1,15.1,17.68,20.87,24.17,24.65,27.59,27.55,27.97,22.29,25.25,14.35,11.83
6.58,8.33,19.24,18.84,20.27,27.74,19.1,18.9,18.55,16.44,11.14,13.44,14.22,13.64,21.63,25.59,26.45,19.68,25.84,25.77,27.74,17.36,20.72,18.66
11.66,14.72,13.13,15.31,19.38,22.77,20.16,21.51,20.74,15.38,14.58,6.86,13.51,18.94,18.64,22.97,29.59,27.19,26.11,24.89,21.23,22.78,21.75,16.71
8.59,10.42,20.46,19.59,25.32,23.88,24.36,20.21,18.24,14.45,13.43,7.63,15.38,15.62,17.5,21.76,21.81,24.97,26.56,23.28,21.79,20.17,19.75,13.98
12.34,12.95,19.42,23.4,17.13,21.17,20.74,19.83,22.76,18.64,14.07,7.42,16.16,11.9,22.93,26.01,28.59,28.42,24.17,24.18,21.99,17.07,17.63,15.62
11.35,13.95,17.38,15.46,20.75,28.53,23.75,19.87,20.25,23.53,13.48,7.12,11.83,17.19,19.82,23.96,22.25,23.01,29.23,23.38,24.17,20.89,18.37,12.89
9.74,17.86,14.9,19.12,19.82,20.46,20.21,18.37,18.14,16.0,13.12,9.02,11.87,22.56,21.38,23.19,24.96,26.78,26.01,23.62,23.39,20.42,16.59,12.95
6.74,13.21,20.0,15.77,21.65,20.41,19.12,23.2,10.92,13.22,9.76,7.61,15.28,17.14,21.05,20.22,22.79,26.66,20.03,23.85,27.58,19.69,18.48,14.44
10.66,13.36,18.18,14.68,19.97,23.78,22.15,21.56,16.05,15.94,13.3,8.57,12.87,18.46,21.51,23.73,25.12,23.85,24.86,24.47,23.52,23.78,20.88,15.47
6.06,16.05,18.4,17.34,18.92,18.8,22.79,19.41,17.08,19.88,14.71,10.07,14.3,17.57,14.33,27.18,23.75,27.11,25.81,21.57,24.06,23.17,18.57,13.22
