M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
61.1,57.7,65.5,57.0,48.8,48.9,47.7,57.0,61.1,54.7,54.0,57.9,74.1,68.3,53.9,59.0,70.0,56.3,60.9,65.7,50.1,66.9,61.4,64.0
56.0,57.0,47.1,58.4,47.4,46.1,61.5,60.7,56.4,57.5,67.9,61.9,73.1,72.7,62.2,58.9,58.0,61.5,61.9,54.1,59.3,60.2,66.7,73.9
61.9,64.6,59.0,51.4,53.2,56.0,58.6,52.7,47.9,51.0,58.8,56.5,70.5,69.5,70.7,62.6,63.4,51.9,57.9,65.7,60.7,54.5,65.8,72.2
62.4,54.4,49.8,42.0,53.3,49.1,56.5,59.9,54.9,50.5,53.4,59.1,74.4,62.1,63.2,72.5,60.4,55.1,64.4,57.9,55.5,68.1,65.8,67.8
59.2,70.8,51.6,50.8,56.0,58.2,52.1,59.6,55.6,56.3,57.6,48.6,63.5,70.7,57.6,58.5,68.3,52.0,66.7,58.0,67.7,68.6,71.3,71.2
56.4,56.0,50.4,63.2,62.4,54.1,59.2,53.1,53.5,53.6,57.7,56.2,69.1,61.3,67.5,68.2,60.5,61.3,60.5,55.9,80.7,65.6,62.0,70.1
71.0,56.4,64.3,49.6,43.0,47.8,49.6,48.6,54.8,69.2,55.0,60.7,64.5,64.7,70.2,64.7,60.9,62.9,61.1,54.8,64.0,75.5,56.6,69.7
58.2,66.6,59.4,54.5,53.3,56.2,48.7,50.6,55.9,56.9,54.6,65.9,66.4,72.7,66.4,58.9,56.6,52.5,57.3,60.1,62.3,57.6,60.3,69.8
51.1,66.0,51.6,58.5,48.1,57.5,34.4,52.8,57.1,52.9,57.9,55.1,73.1,63.9,62.0,59.0,65.9,58.4,65.2,57.1,45.5,61.4,70.9,71.7
55.3,64.7,62.2,57.9,48.9,47.1,49.6,54.7,61.1,47.4,67.3,64.4,59.3,59.7,62.6,56.4,57.4,56.8,64.5,68.4,68.0,61.4,68.7,66.9
60.7,55.3,52.7,60.0,52.4,51.9,56.1,60.0,55.6,56.7,62.5,57.0,70.3,66.6,54.5,51.0,51.8,65.3,64.9,53.6,70.4,66.8,59.8,66.8
66.1,55.2,58.2,52.4,45.2,56.5,49.2,49.2,48.5,51.2,58.7,57.7,66.3,57.6,67.2,63.9,61.7,61.8,57.6,62.2,65.0,60.3,70.4,69.9
53.9,62.5,51.3,50.4,48.9,60.5,53.0,57.0,53.0,60.5,63.4,51.0,64.8,66.5,58.1,56.7,59.7,58.2,63.9,63.7,69.5,54.9,58.0,74.0
60.9,63.6,54.3,43.0,45.4,42.8,50.8,64.5,52.2,59.9,66.0,56.3,73.9,56.3,65.6,63.0,63.8,53.4,47.9,57.4,62.8,62.4,60.9,70.3
55.2,59.8,61.0,56.8,49.2,40.9,55.2,54.0,53.0,54.3,44.5,64.6,76.3,62.6,62.7,63.9,60.0,59.7,67.5,63.0,66.6,70.8,73.3,70.2
64.7,52.9,53.9,53.3,49.6,55.8,50.0,52.8,62.2,60.1,61.2,56.4,77.3,82.0,67.2,55.6,46.4,57.8,58.9,59.5,63.4,59.2,59.5,70.8
56.2,57.5,55.8,67.9,49.9,53.4,61.7,51.1,56.9,61.7,63.4,58.0,68.5,67.0,58.0,58.7,65.5,64.3,66.9,59.5,52.2,57.5,75.2,60.4
60.9,56.8,57.7,52.8,43.4,54.8,54.0,63.5,50.8,54.0,58.0,61.2,74.8,61.2,66.6,54.3,62.8,55.4,56.1,57.6,62.6,59.4,62.9,66.3
73.5,52.7,60.0,57.9,47.0,51.1,60.0,44.9,55.6,52.2,62.3,50.8,70.6,70.8,59.5,58.1,54.9,65.2,64.7,50.9,58.8,72.1,69.9,67.3
58.3,54.9,54.4,48.5,55.9,62.9,47.6,55.6,64.4,57.6,66.1,55.4,65.0,67.3,60.4,62.2,58.6,53.5,57.4,59.4,69.6,64.4,64.4,66.7
70.8,61.7,54.1,54.2,44.3,45.5,49.9,50.7,53.1,54.6,56.4,58.5,68.6,65.2,58.9,58.5,59.8,57.1,59.3,50.7,66.4,60.7,67.1,63.1
55.1,60.0,57.8,57.0,62.1,48.2,45.7,55.3,53.5,56.4,59.4,69.1,70.4,77.1,65.9,62.5,66.0,69.0,59.0,65.5,67.8,62.5,63.3,71.1
64.5,58.7,60.2,48.5,56.9,58.9,54.0,50.9,55.8,59.3,58.8,63.0,67.3,64.7,75.7,51.5,53.0,66.3,59.9,52.9,65.1,59.6,64.7,66.8
65.2,51.3,57.8,54.4,52.0,40.8,58.5,50.2,63.7,54.9,59.1,62.6,72.3,62.6,56.8,61.3,67.1,67.2,57.1,59.1,66.4,58.4,60.9,62.6
71.7,60.9,56.3,53.8,52.0,63.3,56.9,55.9,61.1,46.3,52.7,56.3,70.2,56.2,64.2,57.4,68.9,56.7,61.3,59.8,60.1,67.9,65.9,67.8
59.2,60.5,54.7,42.9,54.2,56.4,52.4,50.7,57.8,54.5,57.8,50.2,73.3,64.7,66.1,50.9,57.7,64.7,71.8,59.8,62.0,54.6,70.3,74.0
61.3,61.4,54.6,59.6,55.5,54.7,56.3,58.2,57.2,57.9,43.7,61.1,73.0,67.1,65.7,65.5,64.0,68.5,53.9,55.7,64.3,55.6,65.7,62.3
64.2,70.5,57.4,58.3,53.6,50.4,59.4,51.6,57.5,57.4,46.3,63.4,72.5,68.8,62.3,65.0,64.3,60.6,58.8,69.3,67.4,60.4,62.5,72.3
58.3,57.2,55.8,56.1,58.5,49.4,47.9,57.7,61.0,59.5,60.6,60.9,65.9,70.0,65.9,59.7,62.5,61.2,55.4,56.3,59.0,71.3,62.5,68.1
65.9,54.0,59.9,54.6,52.1,56.3,47.7,54.3,54.8,70.6,58.5,62.4,75.2,70.1,59.6,55.8,62.5,60.9,64.5,61.1,61.7,70.2,74.8,71.5
