M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
52.91,66.25,56.66,74.84,69.04,79.74,79.39,73.8,67.74,72.11,60.36,68.99,80.32,86.57,74.43,106.34,93.4,112.91,84.53,96.77,100.67,106.9,112.98,76.39
53.56,78.33,81.12,74.34,79.95,93.58,74.34,83.83,75.82,68.47,48.95,63.66,83.71,89.13,73.44,93.26,68.59,80.73,90.63,79.16,87.14,94.19,75.39,61.57
62.74,64.38,62.08,63.66,78.42,82.73,82.58,78.23,67.9,63.28,91.53,74.97,90.97,75.42,83.3,98.03,100.39,97.49,80.26,90.47,101.54,102.56,81.84,74.75
59.54,66.88,72.2,73.77,72.22,69.38,72.58,71.43,71.05,70.68,62.81,66.31,88.43,68.54,67.27,84.07,90.09,79.98,92.93,97.58,91.72,87.53,73.46,79.44
59.67,64.38,61.41,67.61,69.07,67.08,69.98,81.14,75.09,73.44,63.96,81.24,75.34,103.05,72.88,86.64,81.18,70.99,103.71,93.42,79.71,69.58,106.66,84.06
62.32,68.23,70.54,60.86,68.53,71.81,70.75,74.32,77.24,79.34,75.98,62.12,84.66,89.0,105.89,84.33,103.11,110.16,100.72,119.91,90.93,95.96,87.24,86.01
63.47,65.22,76.1,63.83,70.19,87.75,89.55,72.91,77.76,57.78,63.69,68.63,93.32,90.84,89.53,91.8,93.1,83.95,91.61,91.88,95.22,87.14,77.67,74.73
70.14,73.31,74.92,75.5,72.19,78.78,78.62,76.69,74.77,75.63,66.82,52.53,90.55,92.79,85.38,69.47,86.51,87.69,90.29,92.42,77.38,80.67,99.44,102.58
62.39,74.82,77.22,85.06,78.08,75.52,69.47,81.69,80.28,72.6,68.63,66.69,81.47,104.45,67.81,86.54,82.39,76.34,92.46,83.96,107.98,96.8,106.57,84.23
76.29,63.57,58.95,61.59,77.66,57.54,77.98,68.41,78.89,55.34,68.89,67.29,90.08,93.29,68.59,96.46,83.11,99.68,96.95,104.01,79.63,91.69,78.15,96.95
