M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
17.45,12.42,21.32,19.12,18.8,17.63,18.4,20.23,22.17,10.73,22.12,17.92,22.11,30.15,23.29,36.58,35.35,30.09,33.78,27.68,24.7,22.88,25.29,21.58
15.07,22.28,16.13,11.09,17.3,21.31,19.1,20.59,21.14,20.43,20.64,18.09,19.96,22.94,33.66,23.77,35.5,29.93,30.78,28.12,29.4,27.91,26.38,29.84
17.1,22.1,20.13,16.82,21.11,23.0,24.07,19.46,21.48,15.89,15.47,19.19,22.63,24.98,24.69,22.27,30.89,31.56,25.5,28.93,30.84,27.79,28.61,24.53
15.67,20.69,21.63,16.17,14.67,25.63,17.4,22.42,21.52,22.16,13.68,22.56,30.92,30.35,30.25,27.95,24.39,30.52,32.95,31.18,30.62,29.92,26.03,22.46
15.9,15.55,20.53,23.54,21.03,17.26,18.1,25.38,18.21,21.55,20.55,16.91,25.05,22.6,28.25,22.82,31.46,30.59,29.43,30.37,26.02,28.19,26.92,25.58
21.1,12.89,20.76,18.66,22.74,30.22,24.26,20.14,12.7,21.19,15.82,12.83,24.4,28.1,22.54,25.81,29.27,37.15,31.6,29.74,29.76,27.49,29.42,28.69
20.66,19.9,15.34,18.95,23.11,21.71,17.99,18.29,19.6,21.39,20.29,17.27,32.92,25.6,23.85,29.45,31.56,29.67,28.91,30.57,22.62,24.02,24.32,24.99
16.55,17.26,18.01,18.4,20.05,19.32,19.55,19.02,25.69,21.91,19.63,15.4,23.74,18.75,32.68,24.49,31.18,25.54,22.41,24.32,34.41,33.68,24.58,21.17
15.78,21.54,15.95,18.37,22.9,26.37,19.9,19.45,20.78,22.16,19.55,15.76,19.92,21.83,29.79,23.18,24.41,30.76,34.07,32.32,24.09,22.34,26.42,25.96
16.93,12.81,15.24,17.0,20.72,22.88,19.84,12.7,20.76,22.91,19.19,16.08,24.47,29.73,28.15,27.23,34.16,27.16,25.59,26.65,28.6,26.23,21.07,20.66
17.5,15.44,23.75,18.15,20.18,20.93,19.58,18.76,14.48,16.1,16.08,16.52,31.98,21.85,25.55,25.56,29.69,23.92,23.85,26.72,29.96,32.68,25.9,24.67
23.71,22.61,19.72,14.58,21.91,23.38,25.21,19.65,13.78,23.03,20.16,17.34,29.72,24.75,22.31,24.21,30.85,24.25,27.66,28.04,28.43,24.41,25.51,27.54
12.14,17.42,14.5,19.42,19.28,24.54,18.93,19.46,20.05,22.28,18.01,13.49,23.52,17.99,26.27,21.35,33.37,22.74,32.99,24.18,24.92,29.92,25.65,23.06
21.2,16.97,14.68,16.15,21.43,21.39,20.71,17.76,16.44,19.88,18.69,18.99,21.84,25.0,24.66,19.26,26.29,33.72,25.82,25.1,25.59,26.28,23.37,31.86
16.06,17.81,20.63,20.71,23.23,17.08,18.69,17.81,19.16,17.51,20.93,17.24,25.45,29.03,22.91,21.29,26.07,31.21,20.77,28.36,28.76,26.11,32.7,18.04
13.5,18.8,15.85,20.43,19.29,19.24,17.62,18.95,20.97,17.45,16.07,20.06,29.32,21.98,24.82,23.98,32.09,37.11,31.44,33.34,26.35,27.7,33.8,20.7
18.6,17.12,13.03,14.05,17.61,19.65,20.61,28.45,15.5,22.72,19.38,16.74,23.55,32.49,23.08,28.66,23.22,28.27,31.97,29.31,23.81,35.57,21.6,29.11
16.34,16.98,18.36,21.15,20.38,19.33,18.53,24.81,17.23,15.03,19.11,20.46,15.87,22.32,25.08,27.92,31.02,28.65,22.31,30.55,30.91,21.56,28.22,24.4
16.06,13.29,21.19,15.59,22.98,18.8,19.9,22.77,19.73,23.46,13.16,18.48,19.78,24.9,24.27,26.42,28.96,30.96,25.38,27.32,22.99,32.01,33.92,26.51
14.5,18.83,14.45,13.46,13.96,21.98,23.89,18.87,20.83,19.91,21.3,17.34,28.0,27.45,22.67,31.46,27.19,28.64,31.74,33.79,22.63,18.78,29.14,25.01
13.05,17.99,18.1,14.38,13.99,18.6,21.07,22.65,20.9,18.04,15.96,18.98,23.42,25.28,22.66,22.46,23.54,27.99,33.43,29.72,27.06,20.8,23.07,22.35
