M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
26.0,27.0,39.0,25.0,33.0,30.0,27.0,21.0,30.0,28.0,18.0,26.0,35.0,31.0,26.0,27.0,40.0,37.0,53.0,31.0,46.0,54.0,45.0,61.0
25.0,22.0,28.0,25.0,19.0,28.0,23.0,40.0,22.0,45.0,29.0,24.0,32.0,35.0,26.0,40.0,39.0,32.0,34.0,34.0,39.0,45.0,47.0,55.0
26.0,33.0,34.0,20.0,34.0,24.0,29.0,30.0,25.0,32.0,25.0,27.0,34.0,29.0,29.0,30.0,38.0,51.0,42.0,36.0,24.0,50.0,35.0,63.0
36.0,39.0,32.0,36.0,28.0,37.0,31.0,25.0,33.0,31.0,30.0,32.0,28.0,32.0,33.0,30.0,38.0,46.0,37.0,45.0,43.0,46.0,46.0,57.0
28.0,41.0,29.0,25.0,29.0,31.0,28.0,26.0,33.0,25.0,30.0,29.0,27.0,30.0,33.0,33.0,33.0,46.0,45.0,38.0,48.0,43.0,43.0,55.0
25.0,31.0,35.0,28.0,30.0,38.0,29.0,28.0,32.0,27.0,24.0,28.0,29.0,32.0,35.0,34.0,45.0,33.0,43.0,39.0,53.0,61.0,43.0,54.0
31.0,27.0,32.0,34.0,28.0,29.0,31.0,19.0,25.0,26.0,28.0,31.0,24.0,22.0,29.0,42.0,32.0,42.0,32.0,46.0,39.0,50.0,45.0,44.0
24.0,25.0,23.0,33.0,24.0,27.0,24.0,23.0,28.0,42.0,30.0,32.0,27.0,27.0,31.0,32.0,37.0,49.0,41.0,41.0,47.0,37.0,51.0,58.0
30.0,41.0,19.0,33.0,28.0,21.0,24.0,22.0,42.0,27.0,46.0,31.0,34.0,22.0,35.0,41.0,43.0,36.0,53.0,38.0,31.0,41.0,46.0,54.0
39.0,31.0,28.0,29.0,45.0,22.0,31.0,36.0,30.0,26.0,27.0,27.0,30.0,25.0,29.0,28.0,39.0,44.0,36.0,41.0,41.0,50.0,41.0,39.0
29.0,28.0,22.0,31.0,29.0,39.0,28.0,31.0,23.0,29.0,26.0,34.0,32.0,37.0,27.0,32.0,30.0,37.0,48.0,31.0,52.0,38.0,54.0,44.0
38.0,30.0,35.0,35.0,29.0,31.0,30.0,29.0,30.0,32.0,34.0,27.0,25.0,32.0,42.0,37.0,36.0,31.0,39.0,34.0,45.0,46.0,41.0,49.0
