M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
19.82,19.27,19.57,21.57,17.23,16.32,23.04,17.87,12.78,16.18,15.33,20.49,18.81,18.72,13.88,18.76,18.55,19.66,19.55,18.56,20.27,24.48,20.32,23.8
20.6,19.01,20.99,15.73,21.78,10.61,19.33,14.01,16.95,13.89,22.19,21.49,14.1,14.77,20.4,21.77,19.04,22.41,24.07,10.58,20.65,24.63,29.37,24.11
17.62,17.64,20.17,16.9,15.2,19.81,17.85,21.31,17.74,12.01,18.7,18.68,13.52,17.73,21.37,18.48,18.72,16.18,23.54,21.26,18.67,20.17,18.37,23.72
17.07,22.28,12.86,17.8,18.97,18.63,16.74,15.38,17.94,16.27,14.07,16.11,18.99,20.28,19.18,19.42,24.55,22.14,22.34,17.87,20.11,21.63,18.76,22.8
17.83,16.64,16.93,15.4,22.05,22.32,18.11,15.79,12.71,19.81,20.19,22.12,20.37,17.86,16.94,18.76,17.6,21.7,18.21,22.63,21.3,27.85,19.39,29.54
14.56,17.47,14.57,16.58,18.43,11.3,19.02,14.03,17.46,16.05,20.84,16.95,14.38,23.53,16.73,15.97,16.48,16.07,26.46,21.16,21.97,22.5,18.74,27.9
16.5,16.02,17.79,16.48,18.54,20.95,19.15,15.2,19.07,22.54,16.4,17.99,21.46,16.2,17.69,11.47,19.15,19.73,20.5,19.62,19.39,24.7,18.56,23.09
14.54,19.29,20.16,14.93,15.95,20.46,19.36,17.0,17.78,18.37,25.63,19.7,17.74,15.69,19.68,23.31,20.08,13.66,19.98,25.86,26.45,23.28,25.6,25.83
22.18,14.62,18.3,19.73,16.4,18.71,16.66,21.63,23.24,15.48,15.57,15.75,18.44,17.56,13.13,16.45,21.47,19.94,19.34,17.86,22.21,17.79,25.0,26.3
19.12,18.51,22.02,22.82,17.94,20.41,16.8,15.9,16.83,16.12,12.85,13.54,20.41,25.48,16.51,22.28,22.32,18.56,21.0,16.86,21.62,25.3,20.34,22.02
23.85,17.71,21.71,16.06,19.01,14.95,20.81,11.95,14.17,17.65,15.03,18.21,14.52,21.25,15.96,19.44,22.85,18.67,19.57,22.06,18.61,25.75,22.79,23.33
16.68,17.4,15.03,17.72,26.49,13.01,17.49,16.24,18.24,13.85,18.48,14.93,19.26,15.12,23.79,14.36,19.8,18.39,17.42,17.44,19.27,18.1,14.6,19.85
18.14,22.74,21.59,16.71,14.61,18.44,20.8,10.23,18.21,18.07,21.42,13.68,13.26,17.2,18.12,18.46,18.85,23.83,19.7,20.1,17.57,18.68,19.54,24.83
18.05,18.02,14.44,15.85,16.38,20.12,13.8,17.92,14.69,14.8,18.92,19.69,18.62,17.73,14.83,18.45,23.4,20.27,19.15,22.06,26.06,22.37,20.41,21.92
19.64,16.27,19.7,13.58,15.56,24.08,25.19,18.91,16.71,17.98,18.92,22.89,15.77,11.82,16.01,18.34,17.51,19.38,25.82,19.33,19.45,25.38,16.53,19.03
19.32,20.1,19.73,14.15,15.1,19.05,18.85,17.04,22.52,17.93,17.94,16.67,20.2,18.86,16.6,20.48,22.89,17.06,19.77,29.04,17.59,23.09,23.77,20.43
19.68,18.98,19.65,13.39,14.75,16.8,20.51,17.73,21.57,16.49,27.55,16.34,18.96,20.43,19.48,24.18,18.15,18.58,17.34,23.12,20.58,22.55,23.34,23.09
22.85,15.09,20.74,22.28,19.05,17.49,20.95,15.48,22.54,13.9,18.92,17.98,19.1,20.98,20.32,21.47,19.3,16.59,22.73,19.96,20.47,15.14,20.69,22.85
19.17,11.9,18.56,13.28,15.71,15.82,15.56,13.51,18.38,18.65,15.99,17.45,18.67,18.42,14.94,18.16,19.25,22.5,15.95,16.04,18.44,19.04,23.81,20.29
19.11,25.18,19.47,13.56,19.65,20.0,16.19,21.07,14.29,17.59,19.84,16.82,18.87,18.17,22.13,19.01,20.37,18.66,16.6,19.38,18.86,22.16,25.28,22.17
13.07,16.25,15.92,10.73,11.98,18.83,13.9,14.72,19.63,20.25,17.43,16.26,12.87,18.57,18.9,17.12,18.78,16.68,19.56,20.9,19.31,19.54,21.94,21.58
12.1,21.18,16.67,21.84,14.82,26.94,16.03,13.06,19.7,17.44,16.31,19.08,19.11,20.06,18.69,17.85,23.82,20.84,17.51,24.62,19.58,22.54,23.88,24.41
15.11,16.9,12.58,14.43,13.31,24.24,17.54,17.05,14.57,22.87,15.6,21.98,17.93,19.38,16.7,19.38,21.45,20.54,19.48,20.18,23.28,18.57,21.14,24.49
13.05,19.02,22.69,17.15,16.74,17.61,17.86,17.61,20.33,11.97,14.16,10.89,24.96,17.46,16.14,21.83,25.62,19.26,26.24,25.86,28.09,22.58,23.43,21.51
15.87,21.72,23.73,23.61,17.48,14.1,21.04,23.88,17.6,15.44,19.03,20.27,16.42,17.57,19.73,14.28,25.5,17.12,16.28,17.93,17.38,18.6,18.24,22.15
15.45,19.31,19.08,16.71,25.7,17.29,19.7,15.93,14.42,21.55,22.13,15.86,20.12,15.68,15.19,20.57,19.7,20.12,14.66,25.04,18.39,22.42,22.32,24.05
18.34,23.16,17.56,19.92,16.99,14.1,17.61,14.25,20.57,21.83,17.45,18.75,23.1,18.37,24.35,20.9,17.44,22.08,17.18,20.56,21.66,23.05,19.64,22.64
22.36,16.93,19.12,20.2,15.81,23.1,20.81,18.22,19.62,19.9,19.37,15.09,17.65,18.08,20.9,22.88,22.38,15.16,20.35,18.54,18.36,19.31,20.72,20.86
16.64,16.97,21.56,16.05,17.34,12.44,20.42,19.49,21.17,18.37,19.71,17.05,14.03,16.88,21.88,21.68,20.08,23.18,22.67,21.56,23.46,18.83,17.0,20.52
21.34,17.39,16.36,22.62,15.65,20.64,15.61,13.57,14.23,18.03,13.21,16.22,24.32,24.37,25.32,18.04,19.26,16.68,23.16,20.34,26.0,19.86,23.23,22.31
