M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
8.71,2.33,9.816,4.957,7.208,1.499,5.889,2.37,6.545,6.643,6.938,7.34,5.617,9.165,8.187,8.228,5.269,4.068,9.729,3.807,4.273,9.598,0.04,9.024
6.17,4.0,3.095,7.082,7.342,1.476,5.246,3.747,3.839,7.13,9.735,3.235,0.439,7.657,0.306,5.701,3.082,0.069,8.105,7.374,4.346,1.348,6.082,8.333
1.667,4.513,7.619,9.788,8.249,8.747,0.507,3.758,4.431,8.992,9.6,1.377,6.885,2.466,6.036,3.333,7.862,8.275,7.39,1.67,7.07,7.317,0.907,9.63
2.306,0.453,8.658,6.506,4.104,7.042,8.412,2.32,5.06,9.554,4.055,0.859,8.147,6.15,7.855,3.878,2.128,9.518,9.676,5.864,0.345,6.705,2.115,0.122
8.663,6.458,1.341,6.382,1.424,2.178,9.017,2.833,3.523,6.485,1.845,7.554,4.593,4.26,7.62,6.893,9.175,4.025,8.663,8.83,3.425,5.535,0.607,2.708
9.008,0.27,5.214,3.81,9.984,8.1,1.556,9.592,8.039,3.573,7.849,3.693,7.989,4.122,6.399,7.423,8.798,4.705,3.025,7.483,0.049,5.206,3.355,9.693
0.76,8.276,1.136,3.802,8.617,9.094,6.532,3.724,1.88,5.615,3.43,2.494,5.893,2.173,3.03,3.69,9.242,0.269,2.051,3.238,3.746,2.232,3.968,3.341
9.993,3.455,5.676,5.285,7.25,7.077,3.856,4.906,3.786,4.263,4.794,8.518,1.899,0.348,6.871,7.773,0.65,4.013,0.408,8.277,0.195,4.742,8.858,7.178
5.085,6.267,2.373,5.817,1.855,1.787,0.574,1.646,3.736,4.045,8.909,0.49,4.737,8.755,8.488,2.539,3.546,3.846,4.148,9.14,6.693,5.687,6.314,3.527
6.193,9.73,6.305,1.978,4.322,8.022,4.092,0.792,6.199,0.128,3.688,1.829,4.598,1.905,2.698,1.229,2.994,8.55,2.635,6.453,7.14,4.272,1.616,8.658
5.34,0.171,4.555,2.185,0.643,9.388,7.265,6.782,7.694,4.997,7.81,3.004,3.479,9.542,5.235,4.961,0.966,5.022,0.579,1.556,9.08,9.261,3.867,7.732
1.329,0.705,7.741,7.504,5.755,4.615,6.569,4.296,4.971,0.813,4.437,9.657,5.607,9.4,0.461,5.805,3.191,8.595,4.272,2.314,3.221,5.153,6.909,0.759
6.785,3.033,5.347,0.133,3.732,8.578,6.559,6.051,2.155,4.738,6.134,8.335,2.881,0.377,1.936,1.282,1.574,5.187,0.485,8.501,6.282,4.598,2.318,2.114
9.044,9.331,9.699,2.409,6.465,0.265,3.467,8.144,8.199,6.224,6.853,3.817,6.678,8.157,2.75,3.054,6.155,6.302,7.959,4.647,4.517,3.205,0.323,0.896
7.762,9.45,0.899,6.142,5.997,4.75,8.448,2.66,2.746,5.27,0.381,0.152,4.571,2.111,7.008,1.996,5.803,3.778,4.378,1.283,1.086,1.732,5.23,6.106
2.224,0.789,5.032,2.989,0.004,0.548,6.526,3.039,2.546,3.862,6.515,5.406,5.612,0.83,8.996,5.56,1.03,2.02,8.211,7.531,7.273,6.839,5.858,6.509
7.233,3.107,0.485,3.219,3.846,4.911,7.863,8.944,8.587,3.38,7.553,6.86,5.986,8.422,1.505,9.961,6.978,6.346,7.661,2.762,5.456,1.811,0.52,7.285
8.457,2.214,6.482,0.66,0.563,2.858,7.784,6.546,7.743,8.428,1.369,9.361,2.782,7.431,1.684,7.475,4.9,0.612,9.676,0.682,3.314,1.711,9.395,1.248
1.722,3.715,8.982,6.074,6.717,4.768,5.93,3.679,3.564,2.437,3.564,6.303,4.3,3.751,5.717,3.39,4.23,0.618,0.838,6.634,3.672,9.704,7.265,1.207
8.46,4.878,0.857,7.942,0.609,5.356,5.554,5.949,1.354,2.574,0.325,4.41,0.282,5.934,7.358,3.335,2.352,6.574,5.274,6.265,8.941,5.886,3.668,2.59
5.794,3.69,9.814,5.477,3.645,0.438,9.005,7.237,4.178,1.275,6.082,9.529,9.792,2.03,5.273,1.671,0.408,0.93,2.74,9.798,5.548,1.01,6.874,9.511
0.66,0.817,1.215,7.611,5.346,7.493,5.635,3.852,1.585,0.111,9.673,9.328,4.784,2.477,1.893,1.084,6.505,1.771,6.487,0.594,0.023,9.044,5.398,8.009
2.182,0.583,9.181,5.585,3.555,6.409,0.192,7.772,1.843,5.625,8.719,1.938,4.926,7.739,8.625,1.489,3.619,6.784,5.821,3.008,5.58,0.522,3.415,6.343
5.382,9.81,6.677,8.332,9.583,8.086,3.303,8.169,5.894,3.651,2.809,9.703,9.055,1.234,6.033,7.661,6.08,7.562,7.399,1.868,2.45,7.117,7.835,2.866
4.536,0.497,8.508,2.338,9.946,3.676,5.361,7.459,3.547,3.422,7.8,8.898,0.035,7.197,4.441,8.755,0.619,9.923,1.654,4.381,8.597,3.66,9.998,5.504
4.152,0.489,0.369,0.546,4.344,3.008,3.071,9.813,4.049,2.321,9.116,6.718,4.515,3.151,3.574,0.431,1.301,2.262,3.596,3.423,9.981,4.459,8.833,8.439
1.166,0.28,1.101,6.084,6.231,4.39,4.223,8.538,0.705,9.632,3.684,4.151,1.084,6.616,9.126,7.695,8.307,3.456,7.542,5.481,2.601,2.339,3.764,6.055
7.869,0.518,1.054,7.637,1.768,9.714,1.902,2.161,3.1,1.9,6.352,2.526,9.987,2.677,5.674,6.377,7.084,7.201,3.363,6.666,9.208,6.382,0.071,4.35
8.482,3.828,5.137,4.549,9.501,9.626,6.618,8.134,4.84,8.062,9.496,1.306,8.011,4.781,3.935,5.448,0.388,1.312,3.816,6.955,3.009,4.072,4.4,8.399
2.268,4.096,5.022,9.801,1.537,7.126,7.044,4.407,2.165,1.925,1.802,6.452,7.926,7.779,3.343,5.731,1.755,7.541,7.436,5.304,8.387,4.4,9.938,2.786
