M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
31.6,32.2,24.9,30.3,49.3,44.2,38.8,34.4,33.6,32.0,37.2,35.4,39.9,31.2,45.1,36.7,32.8,44.1,48.3,42.5,33.2,39.2,33.4,36.1
25.1,30.7,25.0,27.1,32.2,20.5,29.3,41.1,40.2,28.1,30.5,38.2,33.2,45.7,52.2,38.6,43.0,49.6,43.0,29.2,41.0,45.1,40.8,27.9
36.9,39.3,26.8,47.7,36.1,33.0,37.2,41.6,30.8,48.2,34.4,24.3,46.1,32.2,48.4,52.2,39.0,51.0,47.7,43.9,40.0,35.6,54.7,24.2
33.3,33.0,37.8,34.6,40.0,37.4,46.1,43.7,32.1,29.9,31.9,28.6,35.0,55.7,42.7,20.4,25.7,34.6,45.1,35.5,54.6,37.6,37.1,51.2
33.2,27.5,41.5,32.3,23.5,36.9,50.3,30.8,41.6,29.5,37.3,37.2,46.7,50.1,45.3,44.6,28.9,46.4,36.3,38.2,44.1,39.0,34.1,32.6
28.8,41.4,30.2,42.6,49.2,26.7,36.0,24.5,36.7,39.0,31.4,34.7,47.6,39.8,26.8,40.2,31.9,42.5,28.0,43.3,50.7,40.5,58.0,49.5
24.7,33.9,37.6,42.2,46.5,28.4,32.6,53.8,51.7,26.8,31.2,31.4,42.8,28.2,28.1,45.5,43.2,46.7,30.4,30.3,55.7,31.8,37.9,40.1
40.3,37.4,52.1,34.8,28.9,38.0,47.2,27.6,31.2,45.7,25.2,30.1,33.6,46.3,46.5,40.8,41.8,47.3,50.7,27.0,46.1,41.6,36.2,23.5
54.7,18.0,24.2,33.7,36.1,38.4,37.5,44.6,31.9,54.1,26.7,22.1,37.2,32.2,48.6,27.8,51.0,45.7,49.5,24.0,40.8,31.9,26.7,36.6
26.0,43.1,49.7,23.3,31.9,33.6,35.5,39.1,21.3,36.5,35.6,18.0,42.2,44.1,36.0,34.4,32.5,32.6,27.1,35.6,36.3,32.7,47.3,26.3
33.9,28.0,30.7,36.0,18.3,41.5,46.5,35.4,31.5,33.0,27.6,38.9,38.7,42.5,36.9,45.0,52.0,41.4,49.6,37.3,42.3,41.8,34.6,32.9
18.1,25.9,24.1,40.5,35.7,39.6,32.9,32.3,20.1,32.2,27.0,35.6,36.2,31.1,35.8,41.2,27.3,42.6,42.3,51.5,34.9,39.3,43.8,42.9
42.3,38.5,30.4,35.4,40.8,24.8,28.6,18.0,42.0,26.7,46.4,34.6,29.0,36.9,49.5,32.6,41.9,27.6,51.7,36.5,46.2,24.2,42.6,56.8
40.4,38.6,40.2,34.6,33.3,36.8,39.2,37.9,52.5,39.0,50.2,31.8,46.3,36.9,50.7,36.2,34.1,38.8,41.8,49.3,48.7,43.5,46.0,46.1
37.8,40.9,26.1,36.1,45.4,33.8,29.3,40.4,43.9,35.3,38.8,49.1,58.9,39.6,34.0,49.2,41.1,51.0,33.2,40.0,44.8,34.0,35.2,46.9
46.6,25.8,38.7,28.2,27.2,42.0,38.5,35.2,33.1,38.6,36.3,64.1,41.0,48.1,31.0,37.5,55.2,39.3,50.4,45.7,47.9,29.7,40.7,39.3
35.9,32.4,25.5,32.8,24.2,51.4,45.2,33.4,42.5,36.4,37.9,41.1,29.7,48.4,38.9,44.7,22.3,40.7,40.3,42.3,34.7,36.5,39.6,46.8
