M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
39973.0,41041.0,53102.0,44000.0,42675.0,38156.0,34890.0,38222.0,55720.0,58452.0,41742.0,35030.0,72996.0,66803.0,77112.0,93080.0,69356.0,71397.0,77984.0,57451.0,70776.0,52337.0,59716.0,77171.0
46859.0,50274.0,57890.0,43698.0,63127.0,61997.0,41071.0,70584.0,49910.0,55206.0,56022.0,40301.0,63107.0,82591.0,64560.0,77272.0,57158.0,65228.0,38707.0,53873.0,69460.0,54489.0,75575.0,69951.0
41212.0,62327.0,76109.0,46186.0,51486.0,57252.0,54823.0,51520.0,47493.0,62034.0,51322.0,56450.0,64752.0,41748.0,60660.0,42472.0,51642.0,72023.0,53512.0,72618.0,46779.0,50515.0,56449.0,73792.0
40377.0,57026.0,60540.0,62105.0,39150.0,50601.0,42155.0,54402.0,57686.0,30658.0,35083.0,41396.0,65233.0,58949.0,66392.0,68302.0,68343.0,58190.0,53742.0,72574.0,70399.0,65719.0,67668.0,56999.0
37496.0,50255.0,61591.0,29200.0,60808.0,70144.0,36923.0,58687.0,41550.0,34464.0,40456.0,53771.0,70835.0,76700.0,78468.0,70592.0,60251.0,65380.0,68382.0,64964.0,65525.0,74520.0,59784.0,49369.0
31024.0,35037.0,48665.0,60662.0,36542.0,59046.0,33512.0,50359.0,68013.0,48927.0,43260.0,44687.0,58926.0,50600.0,76737.0,62041.0,73111.0,78467.0,60505.0,51574.0,60966.0,71412.0,62432.0,58260.0
33505.0,38436.0,60807.0,62595.0,55966.0,58147.0,44942.0,49938.0,46523.0,57486.0,45491.0,28638.0,48165.0,63878.0,83687.0,72051.0,57726.0,57493.0,63742.0,61384.0,37338.0,65180.0,55721.0,55955.0
44609.0,66666.0,45209.0,44483.0,59003.0,54957.0,48584.0,34248.0,65617.0,46838.0,41187.0,54566.0,62891.0,69547.0,57929.0,68592.0,55662.0,64975.0,55221.0,49948.0,52274.0,70655.0,63934.0,61124.0
50738.0,33194.0,62263.0,39471.0,62992.0,52435.0,44618.0,65818.0,53548.0,42428.0,49761.0,56898.0,64313.0,61322.0,69292.0,66133.0,72357.0,56908.0,57065.0,62758.0,61219.0,59743.0,69701.0,74559.0
51733.0,58605.0,48593.0,50654.0,71734.0,52564.0,58983.0,55864.0,45548.0,45352.0,52310.0,40027.0,70492.0,61299.0,70892.0,66079.0,58930.0,53178.0,63764.0,64033.0,67552.0,65339.0,49451.0,61935.0
61323.0,48103.0,39802.0,69366.0,74266.0,33542.0,45678.0,33316.0,39308.0,44915.0,67673.0,45863.0,59169.0,67807.0,58081.0,72614.0,73094.0,82800.0,68341.0,65299.0,71659.0,53455.0,71814.0,65576.0
45016.0,54745.0,63292.0,55751.0,54621.0,48299.0,51839.0,56823.0,65500.0,64250.0,49337.0,42503.0,62456.0,69545.0,66694.0,63595.0,67704.0,67017.0,79040.0,70646.0,62869.0,58012.0,50796.0,62429.0
