M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
13401.0,31614.0,35526.0,14919.0,15636.0,17677.0,25982.0,35984.0,10614.0,34098.0,44137.0,34344.0,35460.0,22335.0,20749.0,26943.0,19672.0,19522.0,28555.0,28397.0,2716.0,21853.0,67342.0,7129.0
12178.0,12197.0,51967.0,37407.0,17166.0,14278.0,43020.0,24596.0,3451.0,23304.0,30442.0,34923.0,9461.0,53335.0,30848.0,57949.0,15495.0,35563.0,24078.0,11671.0,12414.0,42500.0,31694.0,19931.0
13168.0,49081.0,27425.0,42432.0,27790.0,10701.0,13075.0,17640.0,13576.0,41280.0,22519.0,20793.0,57505.0,32809.0,107978.0,22580.0,54794.0,36484.0,56388.0,54814.0,14334.0,24251.0,15626.0,36801.0
25224.0,21501.0,28604.0,15182.0,58338.0,21780.0,42459.0,77910.0,47934.0,59943.0,5716.0,9221.0,18816.0,12936.0,48037.0,13330.0,23468.0,37328.0,32199.0,17818.0,10335.0,70277.0,12209.0,20606.0
30496.0,8234.0,21817.0,6097.0,121428.0,21001.0,29441.0,45777.0,17723.0,42770.0,140151.0,39398.0,16906.0,7059.0,45731.0,11853.0,19604.0,34882.0,5562.0,30482.0,21577.0,18320.0,13380.0,20306.0
22371.0,67133.0,28812.0,6574.0,24165.0,11270.0,38534.0,26557.0,9785.0,26885.0,7463.0,9134.0,22519.0,19268.0,35203.0,28458.0,46754.0,71283.0,8631.0,32412.0,18159.0,32358.0,26587.0,16048.0
73908.0,88898.0,55833.0,27077.0,15228.0,6418.0,27167.0,9231.0,17478.0,16883.0,3422.0,4405.0,54361.0,18006.0,5748.0,61491.0,156924.0,45103.0,49411.0,35032.0,25505.0,52526.0,16183.0,23254.0
16937.0,35561.0,59425.0,96769.0,18801.0,62764.0,45372.0,4063.0,65599.0,13595.0,60745.0,34099.0,24444.0,2482.0,62108.0,12221.0,32420.0,34859.0,42505.0,1130.0,9633.0,23844.0,14432.0,20497.0
34504.0,14551.0,28650.0,51564.0,11698.0,6575.0,22513.0,32949.0,30468.0,15196.0,46317.0,19322.0,12149.0,4950.0,56439.0,19558.0,21932.0,4957.0,18244.0,10857.0,22826.0,85630.0,41025.0,6087.0
14987.0,23162.0,27544.0,14962.0,69521.0,28279.0,4055.0,37730.0,34586.0,43015.0,38737.0,54856.0,26748.0,27242.0,13231.0,46113.0,28660.0,8944.0,26427.0,45537.0,39406.0,9331.0,9277.0,76990.0
7178.0,26749.0,21079.0,24855.0,40897.0,12196.0,27494.0,49476.0,10043.0,39766.0,63612.0,81637.0,18384.0,22249.0,40349.0,11152.0,34930.0,18742.0,55689.0,8653.0,3969.0,9489.0,23154.0,12266.0
13119.0,15845.0,83452.0,6091.0,26591.0,31298.0,3663.0,44083.0,16745.0,25800.0,4441.0,33922.0,36693.0,14567.0,13440.0,17850.0,8263.0,11028.0,41165.0,11956.0,17322.0,25413.0,32656.0,68327.0
42913.0,22515.0,13441.0,16388.0,4936.0,31645.0,4976.0,27770.0,19880.0,11157.0,30449.0,65168.0,9855.0,51449.0,57092.0,68633.0,22237.0,29316.0,28060.0,67111.0,58656.0,15421.0,21474.0,17710.0
25316.0,30247.0,10820.0,65981.0,38332.0,56301.0,7211.0,3470.0,10756.0,6778.0,45415.0,11181.0,11064.0,19952.0,7923.0,15224.0,8940.0,22656.0,22542.0,22591.0,26260.0,37020.0,48358.0,36297.0
56982.0,11834.0,22938.0,38799.0,17363.0,40467.0,35521.0,28966.0,6987.0,54170.0,58589.0,2075.0,33372.0,18042.0,12582.0,28532.0,5635.0,30168.0,17340.0,9106.0,29006.0,12223.0,22608.0,18201.0
13153.0,40244.0,23979.0,56575.0,24399.0,11374.0,23933.0,7812.0,49643.0,108891.0,20979.0,18145.0,25538.0,2483.0,11747.0,63065.0,30799.0,35470.0,4055.0,17740.0,23020.0,19969.0,32485.0,11669.0
19577.0,18309.0,39318.0,21247.0,71511.0,25112.0,68018.0,23609.0,49795.0,35172.0,20918.0,21018.0,111450.0,14528.0,56547.0,19970.0,20641.0,50246.0,57561.0,18233.0,3982.0,48041.0,2996.0,27565.0
3680.0,7726.0,38408.0,18410.0,51284.0,37418.0,21592.0,70365.0,42213.0,58509.0,21194.0,41436.0,32339.0,19316.0,45921.0,42927.0,68464.0,18186.0,15813.0,6863.0,21202.0,57946.0,67188.0,13576.0
25798.0,10388.0,18123.0,15522.0,28069.0,15273.0,82127.0,14891.0,37687.0,57414.0,17016.0,8413.0,5557.0,21223.0,30557.0,18064.0,6658.0,14658.0,70961.0,112309.0,32465.0,43935.0,6188.0,67378.0
14637.0,8765.0,37253.0,19793.0,13465.0,24059.0,35453.0,52605.0,20499.0,16224.0,47500.0,38479.0,18600.0,18644.0,18316.0,28128.0,48799.0,14301.0,71549.0,23828.0,17615.0,12402.0,20125.0,35216.0
43682.0,10364.0,40598.0,63653.0,87193.0,6859.0,4983.0,55536.0,38712.0,45001.0,14136.0,3619.0,18688.0,12742.0,12218.0,43024.0,17104.0,17736.0,10976.0,27925.0,14239.0,11869.0,16774.0,22658.0
7308.0,15859.0,39003.0,48596.0,50364.0,19018.0,10251.0,46865.0,5212.0,29053.0,9072.0,19391.0,19470.0,20361.0,68241.0,7294.0,14558.0,15360.0,56467.0,26561.0,4525.0,9101.0,16333.0,8967.0
4224.0,17925.0,35069.0,11264.0,42219.0,17092.0,9419.0,35387.0,20577.0,49966.0,20752.0,19249.0,27615.0,731.0,41472.0,41235.0,17256.0,19140.0,28521.0,28803.0,24876.0,37264.0,51147.0,39488.0
43977.0,26986.0,18364.0,5285.0,39706.0,29304.0,38362.0,99010.0,46700.0,24257.0,33823.0,93078.0,43362.0,33256.0,61006.0,20142.0,21140.0,42682.0,62428.0,14438.0,27041.0,26031.0,17457.0,22197.0
15280.0,25570.0,12593.0,23892.0,4001.0,27100.0,16236.0,27747.0,89484.0,2445.0,30873.0,6076.0,24875.0,12565.0,38997.0,18267.0,34644.0,41648.0,72081.0,30915.0,14894.0,18587.0,52673.0,17793.0
89470.0,17382.0,50580.0,13356.0,9347.0,18360.0,37657.0,33012.0,61204.0,3441.0,28115.0,32455.0,36236.0,11671.0,82199.0,23923.0,15189.0,28260.0,12241.0,9435.0,46636.0,70337.0,79977.0,15934.0
177.0,53288.0,61603.0,20380.0,10038.0,19251.0,9579.0,9484.0,5335.0,6490.0,16072.0,60945.0,41539.0,33446.0,22620.0,36168.0,19258.0,5990.0,32575.0,16419.0,16863.0,19934.0,7411.0,54938.0
31220.0,18957.0,75840.0,22074.0,6865.0,5845.0,52453.0,92569.0,29586.0,9582.0,64873.0,50701.0,28551.0,8191.0,11137.0,29874.0,28912.0,39102.0,22646.0,5864.0,59803.0,16577.0,36179.0,20692.0
8634.0,27648.0,28600.0,10111.0,25644.0,13233.0,91858.0,18490.0,7126.0,10790.0,11114.0,31712.0,16071.0,32599.0,10459.0,22261.0,18454.0,43371.0,29082.0,26518.0,12379.0,55271.0,93314.0,30570.0
6422.0,8896.0,65979.0,12703.0,6796.0,13987.0,17976.0,48004.0,44128.0,19994.0,17560.0,6356.0,52070.0,13381.0,16887.0,6806.0,14463.0,6609.0,4522.0,2281.0,40943.0,21656.0,64707.0,33823.0
