M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
4.7254,5.6129,5.5794,10.6902,6.0717,10.1978,9.4838,9.558,14.4665,11.1067,16.4814,9.8941,4.6905,3.7913,4.2776,7.9928,9.3572,7.09,10.9191,10.3433,10.259,7.504,14.2675,15.7911
4.2518,7.2876,5.9957,7.0929,7.7605,8.2932,10.8292,14.4359,10.743,14.7085,13.2275,17.6178,5.1901,5.1682,6.5835,7.1083,11.3485,8.1618,10.4204,9.0837,14.0084,13.1602,12.5732,13.5531
4.5959,5.3689,7.0861,6.8577,6.1483,9.3709,10.9864,9.4735,14.9583,12.0457,17.1495,19.7175,4.0133,4.3285,7.166,6.8281,8.5052,8.7367,10.8993,10.3389,12.448,11.0457,13.5835,13.6556
4.7132,5.2894,4.8989,7.8876,5.8104,9.6799,8.8826,16.5562,7.5396,11.6719,13.0802,18.6149,3.5269,6.4049,5.6881,8.6174,10.4978,11.9276,9.3895,15.3394,14.2576,17.2381,12.9121,16.1477
4.9078,5.3282,5.3517,7.5011,9.7093,7.326,9.1625,10.195,12.2457,9.6047,12.5433,12.4235,3.9789,4.8154,6.0562,5.3464,8.7696,11.4887,13.435,8.542,12.0621,11.5641,10.6347,11.5651
3.8423,3.5829,6.9294,5.9118,7.2811,8.6678,11.4486,9.8155,12.4397,15.4158,14.3872,17.3455,4.5526,5.5745,6.1423,8.0893,7.082,9.4875,9.7187,8.0555,11.876,13.2866,13.1218,11.7226
2.1331,5.6444,6.7208,7.0427,8.0341,9.6251,10.7882,14.8258,11.1128,11.7681,12.8992,12.6835,3.0868,4.0109,7.5558,7.0336,5.8615,13.8866,10.0251,10.982,15.6722,13.1507,15.1787,14.0983
4.2136,4.5673,5.8195,8.2519,7.6108,7.1408,11.99,10.6128,15.3315,10.1753,11.1686,18.5322,4.1176,3.6808,8.4543,8.246,10.8712,10.2713,10.0601,10.8511,14.7233,14.5736,15.6771,18.7788
4.3624,5.1185,4.0595,7.0615,4.6659,7.6356,9.4554,6.3264,12.7736,12.5488,12.3643,13.0684,4.1617,5.1893,7.607,5.4981,7.7705,10.1403,13.5042,13.0909,8.1285,15.6669,16.6363,16.0819
3.8424,5.4179,4.7122,7.1295,9.0484,8.8333,7.0946,10.1302,9.9871,9.9755,10.6387,17.0981,4.3744,5.785,6.1773,7.4544,8.3841,9.6139,9.2274,11.5882,10.7142,12.6141,9.4219,9.4318
3.0001,4.7991,5.3107,7.7619,10.4578,8.7587,10.6692,12.4632,15.1155,16.3899,10.6156,16.3569,4.7701,4.4993,7.1767,5.3363,9.3852,9.7009,9.478,8.6399,8.4986,10.2402,14.6345,13.4956
3.2088,4.3956,7.3025,10.1653,8.6598,9.2695,9.0878,10.5563,13.145,7.6639,14.8203,14.4171,3.6077,5.1346,6.3556,8.0159,7.2163,7.6313,5.9816,7.3094,9.4368,11.6712,15.8282,16.0747
4.7632,5.0842,8.2273,5.5389,8.8046,9.3923,9.6595,12.5976,13.0948,12.5096,14.1707,17.1927,3.5104,7.3327,4.1129,6.7668,8.2788,9.8024,7.4278,12.7465,8.4351,12.4153,14.4994,14.275
