M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
7.6314,7.7982,8.9527,11.6386,13.6592,10.1529,14.9176,15.8173,11.908,16.2377,27.1522,24.0595,17.5848,22.349,14.2616,8.6894,21.5445,10.7826,12.844,12.8343,10.8568,7.8006,8.356,5.3928
5.6552,5.405,9.1622,6.6056,8.6242,10.7416,11.7617,18.0772,13.6761,17.2442,19.0122,18.4755,13.3585,23.5593,15.6264,15.643,14.3169,12.3464,7.091,11.0891,5.8841,10.0983,7.1151,4.5351
6.1638,7.2565,7.8296,9.9029,9.5485,14.628,11.7812,12.6631,20.8261,12.219,14.1868,16.0909,15.0962,16.048,24.9293,21.9722,18.3631,20.0696,15.7212,12.3836,8.4887,5.7322,6.8241,3.3917
6.1837,7.7136,8.2624,11.5138,10.9962,11.3525,14.473,12.6627,15.7339,22.477,19.6736,21.5505,18.5138,18.0339,18.9331,19.4579,14.2701,12.4725,11.3905,11.5289,8.3742,8.3918,7.9645,6.1933
7.552,7.0712,6.6524,12.8708,9.7376,12.2047,10.0214,16.7947,19.114,16.2559,21.37,17.6888,28.4533,20.0017,23.5217,20.5416,16.0485,13.3258,8.4617,15.1425,7.9797,8.6043,6.3157,3.1822
2.7452,8.9764,7.9476,7.1867,9.6051,9.5322,14.6586,14.0301,13.2663,22.7727,13.2611,17.0515,23.6251,22.1623,19.6705,17.3794,12.0398,21.1512,12.8995,8.5944,8.4529,7.3009,8.3852,6.5373
5.4568,8.0223,8.4132,11.8468,4.6715,14.5451,17.3837,16.4795,21.5296,17.3097,19.7251,24.9607,31.3064,15.0502,23.9478,12.8129,12.6254,9.7842,14.6642,7.8989,11.1961,12.7287,7.2326,3.8404
6.2979,5.7756,11.1553,8.2607,10.8038,15.879,15.26,13.9999,20.7006,19.3662,19.9976,10.758,17.1053,24.3644,20.3682,12.3781,13.0603,14.1388,11.173,10.6854,13.6356,5.2812,8.0861,6.3058
4.5305,7.6096,6.5053,8.3489,8.6069,13.2351,15.8775,13.0445,21.3943,18.9765,18.2165,15.5581,20.1029,18.6729,15.1308,16.6537,15.6038,13.6134,12.2691,7.2306,12.0398,10.4567,9.1832,6.6336
5.895,7.5032,9.7932,6.7893,7.9288,11.8043,15.6324,11.8257,15.8423,17.1736,17.3063,20.4137,26.9077,23.2334,15.7003,20.96,19.4889,12.808,14.9628,12.6154,9.6221,8.5473,6.3046,4.7442
6.1834,6.5626,11.4695,12.3249,7.838,12.963,15.3109,15.9628,16.8677,19.7566,21.3026,15.5568,26.8944,15.0373,17.2158,19.7455,17.3469,12.1865,10.8762,10.8709,6.5158,5.9862,6.8464,6.4807
5.0858,6.855,7.5635,12.7028,8.8225,14.4653,10.5665,16.9866,14.405,16.9908,20.108,20.7897,14.783,16.9079,16.0728,16.2988,15.1785,11.3261,11.4348,12.7019,13.9097,7.7979,7.875,5.5966
4.2934,7.1229,6.8402,9.8838,12.5216,13.1365,11.6214,16.5981,20.2915,14.1099,18.4242,16.4485,18.3643,29.1029,18.0683,16.672,13.9538,17.3016,13.1447,11.0375,10.5807,10.5926,8.4314,6.1467
4.8957,7.9221,7.9594,9.3908,9.1955,11.2913,13.6721,20.1849,17.8022,20.8573,22.5323,20.7176,23.0294,15.1862,13.3883,21.472,13.5743,19.0787,16.1865,13.5819,10.5292,8.8518,6.7058,5.5454
7.7027,6.0951,11.3575,7.9014,9.7837,9.8904,11.5436,14.4636,21.7165,21.5377,15.1955,21.1549,17.5564,15.0823,19.646,12.9318,14.9545,17.6763,11.3737,7.5443,8.031,7.4921,7.293,6.2614
4.37,8.3452,5.0031,13.0764,10.7597,12.8273,12.4889,16.682,18.5528,10.3603,18.6483,17.2805,11.8222,20.9963,15.167,15.5923,14.2181,13.719,10.4376,10.3917,5.5632,6.2127,5.9792,5.2608
6.3999,10.5933,9.8585,10.5348,12.9934,12.1403,15.514,15.8492,17.9273,19.2859,8.5894,13.6314,25.2167,18.3143,15.8421,15.0734,10.9223,18.0937,13.3229,12.1399,8.9301,9.7309,4.3434,6.7396
6.371,7.0931,6.6204,9.6038,8.7209,11.9522,16.7618,15.2514,17.8132,18.2281,19.0212,22.8567,22.2734,20.7397,14.1088,19.0702,17.2283,11.4504,12.5286,10.9133,11.5668,12.2362,9.0713,6.0221
6.2331,8.0582,9.0771,10.6642,12.4989,10.5668,14.7778,14.8446,17.5308,19.0675,13.132,19.2818,18.7688,18.0014,16.3417,15.6416,20.6956,10.2083,14.6186,14.2601,7.9725,8.3552,8.162,6.1453
5.5099,3.7224,9.0864,7.9641,10.7134,11.8352,14.3425,10.9414,14.8273,15.6918,18.7533,15.4355,21.7959,24.2166,15.7353,17.7451,19.9761,17.738,12.5158,9.5918,10.6382,6.6883,5.5172,6.4752
4.627,6.9434,8.479,7.6538,11.6573,17.3933,15.1223,13.8254,16.0113,18.5155,20.1373,15.9998,26.4017,13.6276,21.662,13.1069,17.3009,10.9389,10.3132,9.7122,14.8237,8.4913,6.3716,4.2109
6.4017,7.1779,8.8118,9.4793,14.7762,9.6386,13.6675,15.3232,24.7471,14.0163,20.845,18.0312,28.3912,23.1898,20.666,22.5912,13.218,13.4066,10.4213,10.1264,10.2436,5.3825,5.695,4.4751
7.3217,7.4523,9.4814,10.4238,10.2515,12.7343,15.1737,15.8011,17.6389,16.03,18.3463,18.54,20.6713,19.8843,16.3047,19.6873,16.7515,13.6853,12.6555,10.248,7.3158,11.3586,7.3326,4.8572
3.1945,6.4234,8.8356,9.2882,9.2936,12.6186,15.7692,13.923,13.1451,16.7609,22.4416,11.2703,19.7177,14.9105,15.2293,17.7238,15.9321,9.2361,12.7731,9.2827,8.354,12.1283,8.4547,5.2606
6.3839,5.2343,6.5236,11.5348,8.8583,15.7626,9.3474,18.0083,17.1634,21.6395,22.5089,27.6632,24.7252,20.9263,16.6691,13.5302,18.9795,12.5111,14.8903,10.6551,8.4243,7.3882,6.1369,8.3792
5.7236,5.9749,8.5706,11.5424,8.7376,8.7302,14.8306,10.4828,14.2704,18.0681,16.9361,14.0,19.1891,18.2364,14.3565,15.2602,12.6715,17.3033,13.6638,9.5333,7.3837,12.6662,7.1343,5.573
6.3241,8.1879,7.3805,9.6256,10.432,13.1442,14.1553,16.0963,16.952,20.5433,20.5187,16.8073,18.7108,21.4259,10.58,12.2963,12.4632,11.0207,10.5419,10.3934,7.9629,6.6282,9.2737,5.504
6.0963,7.5705,5.5666,9.7687,10.2974,12.2971,16.9468,13.7126,15.1402,16.4501,24.7502,17.4408,15.8875,16.2837,16.1315,11.3897,12.1122,17.0367,8.6982,11.5556,13.4718,8.4224,5.2247,4.0891
6.1248,6.0049,7.7836,7.6416,10.9083,13.3396,11.6481,19.2285,18.73,19.9187,20.0752,24.5152,20.7941,16.5834,17.6284,13.976,15.76,10.8733,8.6914,9.8222,7.8931,9.805,7.1597,3.9742
