M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
0.0501,-0.0684,0.8923,0.4443,0.1899,-1.3434,-0.5615,1.3091,0.0569,-2.5044,0.8132,-0.3096,1.6201,2.584,5.3572,3.9508,7.6806,3.6805,9.151,2.1599,6.8655,1.3838,8.1082,4.7099
-0.9969,-0.1938,0.9244,-1.3473,-0.6556,-2.2269,0.2904,0.0858,-0.8937,-1.5592,-0.0646,-0.4887,5.7886,3.6658,2.4103,4.4702,7.9502,6.7526,2.7686,1.1892,1.7,2.6635,13.5026,2.0474
-0.8335,0.5697,-0.6781,-1.5849,-0.0945,-0.6195,0.544,-0.6614,-0.707,-0.6183,-0.3739,-0.5979,8.0914,3.9809,5.2749,5.5337,0.7456,1.5346,2.1603,7.2862,3.2975,3.0428,2.7658,1.4751
-1.3279,0.5767,-1.6378,0.3477,0.2442,0.7439,-0.5642,0.2695,0.7563,0.2638,-0.705,-0.7562,7.6273,3.1288,1.1456,3.4574,3.4847,3.4846,3.9922,4.314,0.1642,1.3704,5.054,2.7099
-0.0515,0.3056,-1.939,-0.7297,-0.0112,0.3077,0.247,2.4862,0.9538,0.1191,0.0062,-0.5561,2.0454,2.7301,5.4019,6.1595,6.8108,4.8257,6.0549,7.6674,1.2295,0.6218,1.8287,1.2988
0.5762,-0.883,0.5128,-1.39,-1.8166,-0.1728,-0.6893,-0.0674,-0.2041,-0.3437,0.2837,0.3886,7.1819,1.7437,2.3208,4.9239,1.2907,3.0408,7.0482,1.1176,1.7741,2.8904,2.2346,0.9625
-0.1378,0.6136,-0.0013,0.8412,0.5783,1.3918,-0.7963,-0.6218,0.7889,0.1655,-1.4929,1.0169,0.5394,6.2022,2.916,4.407,4.0166,4.3098,5.87,3.6777,2.2931,1.9978,3.9554,4.5976
-0.1328,0.6465,2.0249,1.6187,-0.9305,-0.7006,-1.0559,-0.148,-0.5703,0.9486,1.7981,-1.6981,0.5424,1.3502,4.998,0.939,6.7631,3.0256,3.5086,2.2989,3.5914,5.4704,1.0572,7.0788
-0.2586,-0.8106,0.7587,0.823,-0.0646,-0.7773,-0.1972,0.4934,-0.5586,-0.2316,-0.4395,0.0149,5.3465,0.4764,6.8613,12.7124,2.5591,3.7543,1.5993,6.1912,2.6366,13.1047,3.8748,3.0027
0.0847,-1.0761,-0.3195,-0.7284,-0.6359,-0.4091,1.0008,0.1832,-0.8813,-0.0964,-0.0641,-0.2501,2.9109,4.1515,2.7291,4.6468,1.6513,5.1794,5.3043,5.5632,5.6536,13.5834,3.4331,5.3963
0.24,-0.9688,-0.8493,-0.7248,0.4908,-0.482,-0.7468,-1.049,0.9456,-0.9495,-0.5331,0.8063,7.175,6.3013,2.0319,2.7116,4.4939,2.5349,0.6873,3.9123,25.552,5.9211,0.5717,1.5089
0.4812,0.2458,-2.3709,-1.024,0.2426,0.6056,1.1239,-0.5364,-1.0779,0.0584,0.3174,0.332,6.7421,1.5887,4.3754,0.8698,6.0083,4.0752,5.1685,5.2474,7.268,4.4878,1.6536,8.1279
-0.206,-0.4656,-0.772,-0.5813,-0.0906,1.6992,-0.4658,-0.0168,0.6035,1.0441,0.3131,0.7621,1.9797,2.1148,1.7293,1.2764,3.12,6.7657,10.1233,6.2478,2.3054,4.6471,2.6651,8.5484
0.7301,0.7429,-0.4146,0.6693,1.8628,-0.8765,-0.187,-0.2815,0.6842,-1.4928,-0.246,0.5998,0.8657,4.2412,4.5003,2.6506,12.9884,1.7358,4.4706,5.0313,7.5894,2.0197,1.2531,7.3334
0.0055,-0.644,-0.1627,1.5164,0.6721,1.0598,-0.189,-0.3183,-0.1325,-0.5362,0.2372,-1.3937,3.5628,3.3698,7.1741,4.6004,0.7048,3.7535,0.3864,0.5627,2.0665,1.5025,1.8018,9.7673
0.1437,0.0709,-1.207,-0.7907,-0.1842,-0.7074,0.8092,-2.8676,-0.9674,-0.7807,1.2182,-0.3958,1.6461,3.0908,2.3482,0.7134,3.9327,1.3552,3.3648,0.9471,2.7259,6.4814,3.1774,1.8532
0.1,0.1128,1.2474,2.204,0.2526,-0.4055,0.0635,0.3919,0.493,0.3451,0.3606,0.6417,6.6715,9.4263,0.5057,3.9846,4.9026,2.3758,6.4449,3.099,2.0948,9.1293,2.3477,2.8445
-0.6112,-1.0687,0.2592,0.7339,2.6711,-0.4665,-0.3953,-0.0158,-0.8924,2.2998,-0.8489,-0.6288,6.1031,3.911,2.0732,8.3551,4.3787,3.3956,5.8595,4.6958,6.7252,5.0982,3.2607,0.3538
0.7382,-0.6862,-0.1849,-1.4679,0.0508,0.084,-0.451,0.2776,-0.9381,-0.6952,1.8048,0.136,2.2946,3.7164,1.1008,1.3923,2.497,0.9737,2.0776,4.8104,1.109,1.2579,3.4294,2.417
1.2272,0.028,-0.6811,-1.8579,-0.4875,-0.4134,0.1308,0.0939,-0.1117,0.7656,-0.5499,0.2145,6.1954,3.1034,1.334,2.0138,6.3632,5.0743,0.7928,2.7026,3.5035,9.5513,4.9804,4.4639
1.0074,0.5944,1.2907,1.3889,0.3707,0.3251,1.049,0.2919,-0.6168,-1.0949,-1.2484,-0.1618,2.2333,2.431,3.7608,1.1015,2.3353,0.8848,1.0041,6.8401,0.6438,4.3382,6.2694,6.8452
-2.2121,2.0767,1.877,2.7293,-0.2259,0.0781,0.2742,0.9514,-0.0856,-1.6505,1.1514,0.8787,5.2749,0.2469,5.4539,3.9153,2.2226,2.7455,2.1276,2.2008,2.2195,1.017,10.2129,0.4445
0.2455,-0.4283,1.3518,-0.197,-2.1644,0.4541,-0.2783,0.7646,-1.2736,-0.7815,0.4243,0.3147,0.5963,1.0582,1.3413,5.2959,6.2021,4.7048,1.0184,2.0919,3.9366,17.0223,2.477,4.721
0.4002,-0.0245,0.6967,-1.9307,-0.4857,0.7789,-0.1851,0.0222,-0.1718,-0.4897,1.6431,-0.4286,2.1819,4.4247,2.1073,1.1461,1.5769,3.3087,13.8611,3.8478,4.81,9.2942,13.8833,2.1498
-1.1667,-2.1305,1.2624,-1.0859,-1.8057,0.3382,0.6145,0.1624,-0.0263,0.5578,-0.2129,0.0773,1.6061,5.007,1.3894,3.4971,9.2537,5.3914,7.109,3.2699,1.9612,3.8335,1.7036,8.3965
