M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
2986.6,2867.3,2267.1,2906.9,2835.2,2740.0,2579.1,2807.0,2554.6,2576.4,2861.3,2551.4,2943.7,3010.4,2775.9,2961.6,3090.5,2872.9,2714.0,2696.8,3375.3,3086.6,3063.7,3432.2
3054.7,2434.1,3133.6,3036.1,2776.0,2391.9,2734.2,2725.8,2670.7,2784.6,3092.2,2628.5,2754.0,2628.3,2512.9,2702.2,2794.5,2660.5,3150.4,3003.3,3131.7,2926.0,3408.9,3378.9
2908.2,2842.1,2797.6,3053.3,2592.8,2584.1,2770.8,2835.5,3314.4,2379.0,2847.2,2868.8,2758.8,3180.9,2851.0,2805.3,2916.0,2749.6,3233.2,3226.7,2703.1,3111.2,2931.9,2999.8
2886.5,2805.8,2731.4,2854.8,2546.6,2779.3,2791.1,2883.0,2812.3,2300.9,2749.7,2807.6,3065.0,2672.2,3004.0,2957.2,2917.1,3083.5,2516.5,2847.7,2798.1,3147.4,3078.2,2859.2
2576.4,2604.0,2543.7,2572.9,3116.1,2955.2,2745.6,2942.0,2715.3,2709.0,2758.0,2911.4,2855.5,2653.6,3037.5,2628.2,3055.6,3056.4,2967.4,3007.4,3010.6,2949.4,3417.0,3080.5
3094.7,2829.0,2802.2,2903.2,2622.7,2841.5,2931.1,3116.5,2840.3,2875.0,2966.0,2748.2,2651.9,3182.6,2793.6,3211.1,2882.5,3041.8,2591.6,3051.4,2831.0,3339.0,3192.2,3130.0
2744.6,2880.6,2950.8,2795.7,3116.9,2723.9,2755.8,2756.2,2819.9,2963.9,2618.7,3114.4,2834.1,2783.7,2675.4,2934.8,2891.6,2908.8,3044.8,3012.9,3186.9,3280.2,3131.1,3430.1
2816.7,3238.0,2610.7,2499.0,2625.5,2963.4,2576.6,2834.9,2533.7,2924.5,2933.2,2688.9,2897.1,2927.2,3036.1,3094.8,2863.9,2922.5,2860.9,3118.0,3472.5,2840.1,3066.4,3213.7
2773.7,2700.3,3011.6,2624.4,2703.5,2587.2,2830.6,3061.8,3250.4,3000.6,2799.5,2914.6,3034.2,2645.9,2572.2,2962.2,2815.9,3578.3,3026.1,3333.8,3101.3,2754.9,3227.4,3033.6
3077.2,2845.1,2730.1,2965.4,3291.6,2823.3,2603.9,2854.7,2674.2,2679.0,2955.2,2973.8,2722.1,2793.1,2634.0,2904.5,2784.3,3184.1,2861.1,3084.5,2877.1,2890.6,2663.8,3279.7
