M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
22.5,22.12,17.02,13.54,10.21,3.87,6.67,7.0,10.16,17.96,17.98,22.21,23.93,21.46,21.04,18.5,7.68,2.32,4.62,3.17,11.08,16.44,20.54,20.32
26.18,26.33,21.5,16.62,11.41,6.77,5.68,7.43,9.59,17.53,19.22,20.95,23.84,22.12,19.6,12.13,8.66,5.7,1.69,7.98,9.9,13.64,16.89,25.32
23.65,29.75,22.65,9.39,9.61,5.42,3.52,7.05,12.46,12.82,20.66,23.54,25.69,21.82,19.79,19.21,12.27,5.98,5.93,7.83,10.06,14.66,19.61,26.55
24.59,20.97,21.65,13.85,7.82,7.73,4.41,7.28,9.3,18.05,20.99,27.53,26.06,25.8,21.42,15.15,11.51,2.94,5.56,3.83,9.9,15.83,16.59,23.31
23.22,21.16,19.58,15.1,12.2,3.51,4.31,4.32,9.83,14.1,20.08,25.05,26.21,21.39,20.84,12.38,12.83,2.18,5.79,9.45,9.17,16.27,20.32,28.15
24.59,23.66,19.49,15.24,15.2,10.59,5.71,9.17,8.17,18.31,18.67,24.23,21.84,23.64,18.31,15.08,10.65,7.41,1.44,2.38,13.89,15.29,16.56,21.25
26.19,27.3,18.46,17.93,4.51,8.53,6.37,3.82,7.68,13.41,21.82,19.22,23.87,25.29,19.77,16.04,9.54,7.27,6.81,6.38,10.25,14.2,21.21,24.07
25.94,23.99,20.36,15.84,7.12,6.09,3.73,5.48,8.8,15.35,22.68,24.43,24.34,26.48,20.04,13.57,8.08,6.56,2.91,6.82,10.04,16.22,22.04,22.4
24.29,20.6,20.72,15.1,8.98,6.22,1.49,4.87,10.12,18.4,18.34,20.34,25.31,26.27,18.58,15.62,10.7,5.74,2.77,6.84,7.07,15.76,18.81,20.5
24.83,23.68,18.9,17.12,9.99,9.24,5.14,1.04,12.3,14.62,19.0,24.34,27.77,24.7,21.07,13.27,9.47,4.69,7.23,6.49,13.18,14.24,21.19,22.54
26.51,25.77,20.72,16.19,10.24,5.47,4.38,9.16,11.39,14.7,18.63,20.94,27.08,24.36,21.77,12.57,11.96,6.09,6.2,9.48,10.98,15.06,18.91,22.79
22.24,24.43,16.68,14.77,11.27,4.19,5.69,7.17,9.56,12.69,16.36,23.65,25.76,20.03,17.38,17.4,10.91,4.07,7.55,6.06,11.2,15.04,19.52,24.52
25.69,25.85,21.62,16.18,8.74,7.08,4.34,5.65,9.61,14.06,18.38,20.53,24.95,22.56,20.52,13.03,9.48,8.28,2.87,5.28,10.36,14.48,20.0,21.72
23.41,22.58,18.77,13.58,10.56,5.41,2.86,7.31,6.81,14.28,21.82,20.54,26.66,21.52,17.89,12.41,5.95,7.86,3.16,3.21,11.22,16.99,22.11,22.87
24.74,23.42,21.0,18.49,8.27,4.15,8.46,6.75,8.34,16.85,20.85,25.79,23.72,23.89,20.12,16.14,8.11,5.49,8.44,6.59,12.89,16.31,19.58,19.32
24.18,20.74,20.24,11.0,6.31,5.4,7.96,6.4,10.52,14.21,18.36,26.82,24.39,21.65,18.16,13.76,8.99,3.24,4.31,11.44,8.49,17.04,21.03,23.98
25.87,24.02,18.25,14.03,12.78,10.18,5.72,5.46,8.27,16.86,19.7,24.47,25.13,27.17,19.66,13.91,11.75,9.18,3.64,6.43,11.8,17.29,21.96,25.76
26.01,23.58,20.41,15.32,6.54,4.51,8.14,5.99,9.31,15.03,22.83,25.81,25.46,22.52,18.09,16.59,11.09,4.0,3.46,1.76,9.26,15.05,20.74,22.69
26.12,21.84,20.6,10.16,12.0,7.21,4.43,3.62,10.75,14.59,16.42,23.75,22.86,22.37,22.62,15.94,11.47,9.72,2.22,5.1,10.37,14.64,18.61,22.47
24.23,21.71,20.98,16.74,11.21,7.21,8.38,5.61,7.49,15.75,19.52,23.58,24.57,23.69,20.5,14.57,13.52,7.1,5.96,5.32,12.08,12.71,23.32,26.54
22.77,21.54,20.08,15.21,9.63,6.96,4.76,9.37,11.13,12.92,24.28,21.63,25.37,23.31,22.43,15.2,9.91,6.06,4.9,4.44,11.82,14.44,19.77,23.66
27.24,25.75,17.61,13.5,8.26,6.7,8.54,4.26,11.61,14.25,18.38,21.51,25.53,23.22,20.61,11.77,11.91,5.71,7.14,4.51,8.27,15.67,21.14,24.26
24.63,21.98,21.6,16.71,10.12,8.3,2.12,4.46,7.28,13.93,19.84,22.09,26.83,22.41,19.19,12.5,10.68,4.13,2.02,7.0,10.98,13.96,22.44,25.43
23.32,26.12,19.05,16.98,11.66,8.16,5.14,5.05,10.76,15.34,22.69,23.27,27.73,26.46,17.95,18.47,10.85,6.82,5.14,7.61,9.15,16.58,18.0,20.1
24.32,22.49,19.29,14.8,9.19,9.18,10.0,4.13,12.64,16.93,16.93,23.14,24.3,21.84,20.82,12.18,11.45,2.86,3.37,6.83,9.8,14.29,19.39,26.66
26.6,23.46,19.15,16.93,12.79,4.0,2.73,7.56,8.29,13.55,18.26,25.27,22.28,25.11,19.2,12.52,8.89,7.22,3.67,8.43,8.51,16.57,18.24,23.91
25.6,24.83,20.67,11.11,11.21,5.77,5.87,5.33,12.35,12.99,18.01,24.11,24.46,20.87,21.99,14.12,9.66,7.37,4.55,5.3,11.5,15.42,21.01,21.6
23.98,20.23,19.06,14.72,8.65,3.74,3.41,8.6,10.12,15.2,18.17,23.71,26.06,19.14,19.3,11.97,6.69,4.5,4.47,7.38,10.86,17.72,21.11,24.79
26.42,26.02,18.05,15.79,9.36,10.49,3.02,8.2,8.22,13.41,17.51,21.88,25.29,23.79,19.1,14.07,11.6,5.81,5.63,7.04,8.72,14.89,18.99,26.47
28.47,19.71,16.27,16.79,10.28,7.18,5.14,7.3,12.46,14.48,19.6,22.92,23.99,23.3,17.91,14.58,11.64,4.78,2.45,6.79,10.5,14.5,18.96,20.99
