M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
580.4,512.4,416.2,500.5,494.3,483.2,422.7,519.3,499.0,558.8,551.1,632.0,717.2,515.2,495.9,498.6,468.1,578.9,571.2,518.7,531.4,632.1,613.3,542.9
511.3,381.2,437.3,450.1,470.5,553.9,416.5,488.4,466.8,510.1,455.2,414.2,572.0,477.1,499.7,525.2,446.2,478.7,642.9,677.3,590.6,606.2,584.9,539.3
537.6,475.8,514.5,455.3,499.3,456.4,434.0,545.7,414.0,419.9,435.2,514.6,541.2,599.2,588.3,481.9,585.6,433.7,530.6,539.1,624.2,650.2,523.9,477.7
399.5,422.9,641.9,475.8,525.4,466.8,459.3,467.4,581.9,449.1,522.4,438.8,518.9,474.5,540.9,457.2,544.2,528.7,570.2,445.5,514.0,610.3,528.1,412.2
401.5,552.3,448.6,553.0,425.3,537.4,495.2,473.1,468.0,451.1,410.2,590.3,468.8,487.0,369.4,744.1,549.8,613.5,465.7,569.3,500.4,601.2,573.7,638.1
575.6,539.1,498.2,555.9,507.8,549.6,479.5,438.0,550.7,538.7,533.6,584.9,347.5,542.6,571.5,502.8,483.6,587.2,492.2,520.6,567.3,576.4,645.6,598.0
522.8,413.3,535.8,551.0,412.2,423.5,502.3,443.8,506.9,507.8,591.8,640.1,636.7,448.8,530.0,591.7,424.7,482.7,588.5,579.7,695.2,573.6,621.5,514.0
555.7,557.8,492.7,388.6,494.7,513.4,506.2,490.3,571.8,495.3,540.0,477.7,516.6,576.8,383.3,559.2,564.8,559.2,546.7,511.1,598.2,496.8,570.8,638.4
482.1,416.8,533.0,467.2,546.3,474.8,463.4,479.0,468.2,365.2,467.2,420.6,514.5,505.7,490.4,540.3,560.6,667.1,561.8,650.9,403.3,605.3,595.0,465.4
374.7,512.1,470.4,488.3,490.2,555.0,577.7,426.9,546.6,499.5,571.4,416.4,462.3,452.6,446.8,552.0,374.2,530.1,534.8,610.7,510.7,582.4,583.8,562.7
589.8,386.6,437.8,467.4,468.1,514.5,535.0,532.1,482.4,481.5,477.2,537.4,505.6,388.0,534.3,620.2,462.7,602.7,629.6,502.0,547.9,490.6,558.8,726.7
541.8,410.4,464.1,601.5,514.2,692.4,453.0,573.0,456.0,526.9,529.1,450.3,463.7,482.3,507.6,543.2,565.5,524.2,490.7,482.7,576.4,583.0,475.7,661.6
495.6,455.4,602.7,445.4,453.2,518.8,474.9,424.1,440.2,539.2,472.5,486.2,555.0,505.4,499.5,453.0,507.3,629.6,628.6,483.9,606.1,620.8,687.4,699.0
460.5,382.4,469.4,446.5,469.3,513.9,485.8,519.3,490.1,517.6,473.5,440.4,522.3,494.6,568.3,402.4,613.9,567.0,499.2,552.2,532.0,748.6,721.8,565.0
480.0,417.3,487.8,604.1,401.2,463.0,458.6,601.9,449.5,508.1,491.0,570.4,520.4,516.8,536.4,441.1,515.2,580.9,433.8,588.1,613.1,756.3,682.4,492.3
546.4,505.7,524.6,482.1,589.6,431.3,502.2,551.4,499.8,527.4,472.3,464.5,554.7,513.5,449.4,336.9,474.9,476.7,561.8,554.3,623.2,581.9,680.2,552.8
554.7,447.9,569.0,479.0,590.7,555.2,452.9,461.6,508.8,472.5,686.9,550.9,502.8,451.6,501.3,605.6,643.6,506.0,615.8,582.3,571.0,686.4,556.6,638.9
576.6,465.0,542.1,380.0,445.9,483.7,531.3,423.2,601.7,520.6,477.9,535.1,540.9,552.5,551.1,513.5,435.2,474.6,587.2,559.7,759.4,632.4,662.0,452.6
428.4,482.1,443.6,495.3,601.0,478.5,513.1,623.0,530.8,512.4,493.4,617.2,460.5,409.1,503.6,544.6,369.2,543.2,520.3,600.9,438.9,504.7,476.5,496.4
633.2,500.6,572.2,591.5,446.1,642.6,430.7,406.9,531.0,551.1,439.4,567.7,412.0,350.2,510.5,603.5,604.7,570.0,563.7,550.2,508.0,606.5,569.1,677.4
480.6,454.0,564.7,423.4,519.2,497.0,505.1,514.4,542.3,452.3,552.5,547.2,432.9,507.4,493.4,623.6,625.9,611.6,652.3,568.0,553.2,579.6,691.6,625.3
565.7,527.9,579.0,482.8,574.8,425.9,446.9,569.5,452.6,562.4,484.4,521.3,471.7,540.3,535.5,466.3,492.1,568.1,514.2,463.5,520.7,509.2,584.9,594.1
361.3,548.9,531.4,507.3,442.3,570.9,506.4,626.8,450.8,509.1,418.9,586.9,463.6,411.4,567.8,511.9,630.7,568.9,526.9,624.2,677.7,568.0,587.7,685.2
571.9,529.6,462.0,621.5,583.2,497.5,489.3,581.8,451.3,395.4,564.9,550.4,548.5,534.4,360.8,471.9,551.8,591.9,503.8,510.9,552.0,621.8,640.0,754.3
541.4,589.7,447.3,520.8,460.0,506.4,596.5,382.4,446.1,496.2,479.5,454.2,529.6,506.4,514.6,530.2,456.3,549.3,705.3,499.9,722.1,668.7,630.1,606.8
521.0,543.0,490.1,444.2,458.1,538.8,399.5,518.5,629.3,475.6,591.0,477.9,510.5,529.2,416.4,540.8,624.4,636.4,671.4,717.8,387.9,567.4,514.6,553.8
480.5,555.5,505.9,507.3,455.5,454.5,490.9,441.1,552.5,609.2,491.1,501.1,430.9,543.5,354.9,653.8,450.0,415.6,529.3,598.8,579.8,606.4,565.4,572.7
