M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
33.1,33.2,36.9,45.1,38.9,30.6,33.1,31.2,35.0,61.7,33.9,39.4,35.4,34.0,23.2,51.4,42.6,51.2,50.1,43.2,50.2,52.3,43.2,54.4
62.1,36.0,39.1,40.3,38.0,31.0,40.2,22.0,32.3,60.6,50.6,37.8,42.5,52.4,25.8,43.1,52.2,51.5,52.3,55.8,41.7,59.9,56.3,73.2
39.0,44.2,35.9,45.0,49.6,49.3,29.8,29.4,45.8,29.8,26.5,45.1,37.4,45.8,45.1,52.8,47.0,34.9,48.2,52.3,57.5,53.5,56.8,58.8
34.8,30.1,30.5,21.9,30.3,40.9,43.0,43.6,40.7,32.2,32.5,43.9,31.0,41.7,51.9,42.3,53.8,56.8,40.6,38.1,60.0,49.7,57.1,52.5
40.3,38.9,42.1,34.4,24.2,32.0,45.3,44.8,44.3,46.8,50.5,47.5,35.5,35.3,30.2,34.8,32.7,47.6,32.2,50.5,52.2,57.3,71.0,54.2
30.8,42.8,44.7,47.0,39.9,43.0,36.8,34.8,41.0,30.3,47.1,52.8,49.6,47.7,37.9,33.3,46.5,36.8,48.1,53.5,46.0,55.9,56.4,50.0
33.7,54.3,39.4,40.7,36.2,52.7,32.8,45.6,38.6,36.9,42.6,40.5,42.0,46.8,31.3,42.8,52.5,52.7,45.7,46.1,45.9,54.7,45.7,62.4
46.8,19.7,49.1,43.9,35.8,39.4,38.5,49.8,50.8,38.6,48.2,40.4,45.6,52.8,54.1,44.8,39.5,35.0,49.6,50.9,51.2,61.4,54.9,45.5
35.2,53.0,31.1,38.9,34.9,37.0,21.9,32.5,31.2,38.2,40.0,30.9,40.2,34.5,40.7,33.1,35.2,50.9,41.9,65.4,63.7,52.6,48.2,56.2
39.0,30.8,51.6,34.7,38.8,43.7,38.9,35.4,41.2,37.2,41.9,39.9,35.6,44.0,43.4,48.8,48.7,43.7,44.0,50.1,49.4,58.0,54.4,39.5
43.2,46.9,40.5,38.5,43.2,38.5,47.6,38.3,53.3,53.3,48.3,35.8,36.8,33.2,46.4,42.8,51.4,54.3,67.0,65.5,50.6,46.5,47.0,55.6
35.6,39.5,35.7,39.2,50.7,33.3,45.1,41.0,50.0,31.0,49.2,43.0,43.8,38.8,38.0,38.6,47.2,47.5,64.0,51.8,47.5,59.4,52.5,35.5
42.0,25.6,54.1,26.8,38.8,48.0,37.1,38.0,43.6,33.8,48.9,36.0,55.9,46.8,46.7,41.2,49.2,44.0,55.2,44.9,53.8,59.2,52.3,66.4
36.0,49.5,38.7,36.4,42.1,50.6,41.7,30.6,43.6,44.5,47.2,55.1,31.2,32.9,31.0,43.9,51.2,42.0,41.9,49.1,55.1,64.5,58.4,55.8
45.5,41.6,44.6,41.4,33.8,39.0,51.6,24.4,44.4,43.7,32.4,41.1,51.1,43.6,35.5,47.8,29.3,46.6,43.6,41.6,48.7,48.0,59.6,42.5
34.0,45.5,42.4,35.2,35.0,52.5,27.0,30.0,32.6,47.3,35.8,47.3,25.7,40.6,46.8,44.5,41.3,56.1,51.2,34.1,36.5,41.1,48.6,48.6
50.2,32.2,39.1,34.8,34.4,40.1,44.3,28.4,37.3,32.8,35.2,35.3,37.5,36.8,31.3,43.5,43.5,46.8,43.5,51.5,51.3,48.9,41.1,67.8
41.6,31.3,40.0,34.0,51.5,50.3,36.7,35.7,51.3,32.3,37.4,48.6,38.7,37.3,32.8,43.1,43.1,57.3,49.8,45.7,48.4,52.0,45.9,51.6
48.2,47.5,47.2,54.3,64.2,40.0,44.0,40.5,43.0,57.6,41.2,49.7,43.5,50.8,52.1,43.5,50.5,34.3,64.7,50.0,49.2,46.7,55.0,61.1
40.9,35.9,58.2,44.1,36.7,34.4,41.5,34.3,40.3,34.8,39.8,38.1,59.5,46.0,39.0,48.6,46.6,53.0,52.3,39.1,53.5,37.3,52.4,54.1
37.5,32.5,49.3,45.0,32.8,33.3,37.1,36.8,52.7,34.5,48.4,34.0,44.1,37.0,50.5,44.1,57.4,64.4,29.5,50.8,49.4,49.4,52.7,64.4
46.7,50.1,29.0,41.9,45.5,52.0,51.9,40.3,36.9,39.1,33.8,43.2,34.0,40.3,55.0,43.7,55.4,46.3,51.3,54.3,60.4,49.4,47.2,61.0
30.7,36.9,40.3,38.5,41.6,40.0,45.8,31.1,36.2,48.6,55.5,34.7,45.0,34.5,36.2,28.3,45.7,34.9,40.7,55.6,55.5,53.0,40.7,58.0
26.5,43.8,41.0,29.3,44.1,46.7,32.3,27.9,39.9,36.6,41.1,39.5,33.8,43.2,47.3,47.4,45.4,48.1,49.6,71.0,42.1,50.9,59.1,66.6
32.8,34.6,40.4,42.7,33.3,36.6,40.1,38.8,31.4,47.7,39.6,32.3,33.9,49.6,38.3,41.5,40.1,35.0,54.7,58.1,55.7,48.9,40.6,59.6
29.4,39.5,30.6,38.4,53.8,32.7,48.1,36.7,42.0,45.3,39.0,51.9,34.3,40.1,50.5,46.7,42.4,47.5,55.5,46.1,41.2,56.7,49.5,46.4
39.4,55.0,40.6,35.5,48.7,35.4,52.4,40.3,50.2,38.7,37.0,41.1,39.1,46.9,55.3,34.1,40.1,52.4,54.3,56.4,71.1,47.9,43.5,71.8
38.1,48.3,36.4,48.8,21.0,35.5,27.8,26.7,48.9,54.5,44.8,44.6,38.8,34.8,43.9,48.4,43.0,36.7,49.7,66.2,49.8,54.0,64.7,59.3
45.8,52.2,35.9,47.5,43.1,31.9,32.9,39.1,43.7,21.4,55.2,37.6,23.6,39.2,49.6,41.9,47.8,42.3,62.6,53.5,45.8,37.0,47.1,45.1
29.4,32.3,37.3,47.0,31.5,39.8,42.4,53.6,47.3,45.2,46.6,43.3,46.0,36.5,40.6,31.7,56.1,47.5,47.4,51.1,60.5,49.9,44.3,51.3
