M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
25859.0,27872.0,10786.0,41355.0,19251.0,29186.0,17788.0,43984.0,3320.0,57735.0,23807.0,91533.0,5187.0,48326.0,1777.0,25436.0,27873.0,12163.0,19689.0,12231.0,22625.0,30855.0,15791.0,33736.0
30569.0,31698.0,3503.0,12770.0,27436.0,8423.0,32151.0,38035.0,52889.0,12185.0,30811.0,19061.0,20750.0,55962.0,35642.0,63048.0,54677.0,50663.0,28696.0,11462.0,16244.0,13091.0,24858.0,70058.0
33762.0,47150.0,15193.0,12764.0,21645.0,99397.0,15987.0,12557.0,18150.0,23124.0,49550.0,25079.0,27662.0,17454.0,30002.0,42878.0,52687.0,22806.0,14451.0,34374.0,62143.0,27550.0,34814.0,46125.0
31876.0,47254.0,25322.0,4494.0,6554.0,26934.0,4048.0,82398.0,15584.0,6959.0,39602.0,25975.0,82557.0,65534.0,7319.0,60962.0,9717.0,16891.0,21117.0,29832.0,34473.0,73442.0,43042.0,21399.0
41202.0,24913.0,66995.0,39030.0,16847.0,20688.0,20676.0,8820.0,39596.0,26316.0,46918.0,15328.0,51716.0,8443.0,60851.0,7933.0,13546.0,22155.0,20186.0,18465.0,90366.0,23998.0,9363.0,5617.0
37948.0,28911.0,20128.0,15634.0,35740.0,9188.0,8782.0,12311.0,33436.0,48652.0,3525.0,16704.0,21541.0,9706.0,91793.0,71556.0,58907.0,14125.0,57361.0,31110.0,13785.0,44975.0,11842.0,10972.0
63305.0,11504.0,36364.0,53725.0,20804.0,56855.0,30543.0,838.0,39823.0,48735.0,21301.0,6792.0,45600.0,13701.0,15801.0,7020.0,8702.0,13708.0,27745.0,63139.0,30608.0,12757.0,7696.0,58812.0
19472.0,11300.0,28974.0,20662.0,57081.0,14250.0,37605.0,53747.0,17427.0,33230.0,54781.0,24383.0,33057.0,32185.0,41477.0,10785.0,115699.0,17139.0,36855.0,24254.0,24334.0,39379.0,46918.0,35088.0
13243.0,3931.0,7475.0,7334.0,22438.0,50200.0,6528.0,16919.0,2744.0,33786.0,11415.0,5212.0,29939.0,35870.0,21926.0,23404.0,53115.0,38584.0,46510.0,19286.0,33731.0,29021.0,5246.0,21246.0
31733.0,34836.0,84881.0,15269.0,29350.0,7500.0,44894.0,22811.0,40996.0,47365.0,6012.0,18695.0,42709.0,49764.0,16115.0,23888.0,45785.0,6596.0,25551.0,9240.0,55823.0,11624.0,45401.0,59413.0
18387.0,2752.0,56307.0,53235.0,41871.0,18935.0,119193.0,30634.0,14160.0,15657.0,36440.0,7502.0,21872.0,11267.0,21659.0,12555.0,16432.0,38201.0,13226.0,25267.0,17358.0,16833.0,23964.0,97256.0
15072.0,30457.0,10926.0,33396.0,38616.0,57180.0,11428.0,23896.0,74868.0,19741.0,98718.0,38280.0,51275.0,17220.0,33234.0,9225.0,63744.0,19030.0,32122.0,32311.0,46430.0,35938.0,17260.0,18841.0
63775.0,41380.0,30936.0,42776.0,34418.0,9194.0,16587.0,56706.0,24758.0,16011.0,50473.0,14720.0,38182.0,51490.0,15308.0,11951.0,43549.0,99157.0,6669.0,28497.0,81211.0,33480.0,46772.0,48705.0
28185.0,42976.0,31076.0,25210.0,30744.0,98219.0,11419.0,51186.0,34114.0,5833.0,21935.0,38675.0,15360.0,52415.0,10921.0,9139.0,77784.0,16054.0,19955.0,49376.0,51846.0,19525.0,17513.0,65951.0
31795.0,96582.0,17961.0,9018.0,19232.0,33725.0,42916.0,43504.0,52101.0,71820.0,67011.0,52398.0,22338.0,5191.0,5236.0,19259.0,24941.0,16225.0,20661.0,32429.0,9311.0,40680.0,54275.0,18845.0
34035.0,45361.0,61897.0,14319.0,44774.0,8737.0,24099.0,7119.0,34461.0,33695.0,28553.0,35383.0,30162.0,27498.0,48807.0,10203.0,40580.0,21738.0,37190.0,28086.0,24599.0,85304.0,115203.0,33062.0
9555.0,40998.0,10343.0,71275.0,16169.0,41904.0,57943.0,24540.0,24771.0,5262.0,6840.0,7138.0,15842.0,15641.0,17915.0,21495.0,62478.0,39617.0,22041.0,56827.0,42913.0,19290.0,31594.0,31999.0
9397.0,16255.0,709.0,39680.0,11718.0,17508.0,12958.0,45774.0,43966.0,42042.0,2336.0,41403.0,15754.0,38595.0,40280.0,21366.0,33765.0,51699.0,10928.0,33083.0,31363.0,20576.0,3968.0,23501.0
32492.0,35431.0,5099.0,36056.0,7101.0,13456.0,13215.0,34671.0,14633.0,20512.0,34202.0,23717.0,39566.0,25602.0,56290.0,17044.0,6039.0,6012.0,62316.0,10684.0,10661.0,32385.0,34539.0,32401.0
26029.0,77670.0,16913.0,24054.0,8896.0,53569.0,20588.0,13693.0,32635.0,25464.0,35321.0,13103.0,34684.0,22156.0,16583.0,9803.0,24240.0,13628.0,15021.0,17958.0,5707.0,10614.0,10161.0,27163.0
6738.0,23341.0,21318.0,26662.0,81350.0,41745.0,20482.0,19039.0,12581.0,16634.0,38961.0,10882.0,21001.0,8690.0,105733.0,20170.0,52090.0,11380.0,57347.0,19132.0,36706.0,11998.0,80671.0,37237.0
43264.0,9165.0,33433.0,36268.0,21362.0,5578.0,33091.0,15769.0,6599.0,59040.0,42068.0,14772.0,47292.0,18350.0,17412.0,14933.0,15141.0,18733.0,16303.0,19500.0,85789.0,14320.0,72159.0,47824.0
30689.0,15296.0,17172.0,24001.0,24619.0,49866.0,23142.0,28155.0,8623.0,10333.0,23009.0,71828.0,17042.0,24338.0,47296.0,56087.0,41189.0,18923.0,14824.0,4848.0,22300.0,97151.0,32831.0,4885.0
59413.0,68736.0,34258.0,46645.0,13782.0,22181.0,44622.0,25379.0,30307.0,7579.0,11411.0,11426.0,7158.0,26068.0,32209.0,21379.0,16103.0,3227.0,44627.0,20064.0,7681.0,58147.0,7309.0,35206.0
34186.0,17123.0,1994.0,60619.0,81401.0,72303.0,18002.0,29835.0,18540.0,60405.0,9239.0,14863.0,26839.0,23686.0,9448.0,4283.0,23937.0,46551.0,19474.0,27890.0,25661.0,56472.0,31814.0,32990.0
30682.0,50910.0,63630.0,31709.0,83802.0,6932.0,21794.0,13231.0,58823.0,44031.0,11752.0,18641.0,29037.0,35323.0,38835.0,18709.0,60098.0,42902.0,41627.0,12891.0,45092.0,18650.0,42624.0,50805.0
23739.0,46427.0,12425.0,47444.0,64650.0,19613.0,29221.0,5875.0,48259.0,62009.0,6208.0,81768.0,8988.0,45740.0,17333.0,3156.0,34205.0,44960.0,38061.0,20401.0,34817.0,36310.0,49644.0,77423.0
14392.0,6621.0,34506.0,76334.0,15348.0,24052.0,34183.0,72106.0,55850.0,29760.0,11658.0,13262.0,29247.0,23373.0,13155.0,89304.0,6023.0,1129.0,52415.0,22330.0,24653.0,37702.0,52567.0,17146.0
18393.0,27499.0,54970.0,31007.0,71879.0,24725.0,8556.0,22895.0,32353.0,22444.0,52822.0,20360.0,22274.0,8969.0,52517.0,25908.0,11680.0,63473.0,1594.0,31477.0,33153.0,8541.0,20495.0,22458.0
37735.0,26156.0,13528.0,33370.0,41665.0,4642.0,21520.0,51622.0,55291.0,13748.0,34799.0,39609.0,43139.0,853.0,19576.0,13915.0,41522.0,67656.0,17825.0,79595.0,26349.0,20303.0,13141.0,21021.0
