M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
45.2,32.8,41.0,42.1,41.2,29.6,32.6,45.7,36.8,37.3,49.1,38.0,33.6,32.5,36.2,51.8,50.6,32.8,48.1,49.5,47.9,44.2,43.3,44.6
36.7,43.4,27.4,23.6,30.7,20.4,31.7,32.5,34.6,30.6,33.0,25.5,24.3,32.9,44.8,46.7,56.0,37.6,43.7,34.9,33.1,45.7,46.3,34.8
31.4,36.1,32.2,43.7,33.4,48.5,45.6,34.4,36.8,44.8,42.2,26.1,29.3,41.1,52.1,35.2,38.1,23.7,42.4,27.5,40.2,51.2,54.3,35.8
33.3,22.7,22.7,34.0,42.1,27.5,34.2,35.2,20.2,41.0,32.7,43.1,34.7,25.1,46.6,45.0,28.2,38.2,26.9,39.4,43.3,43.9,38.0,50.4
33.3,20.6,34.9,18.0,54.2,43.1,30.2,42.9,40.0,50.5,38.8,31.1,47.0,37.8,56.8,34.1,32.5,34.9,43.9,43.4,42.8,28.2,39.9,49.8
48.1,29.3,30.6,36.2,39.9,32.3,23.5,51.1,18.4,32.6,49.1,37.5,27.4,32.1,18.0,42.4,37.6,41.9,44.4,46.6,35.8,33.7,24.0,45.4
36.9,35.4,44.2,33.7,35.7,36.7,20.4,43.1,31.2,24.1,41.8,29.3,41.9,41.0,40.8,36.3,52.4,30.6,33.5,33.7,44.0,49.7,35.3,44.3
40.3,35.1,28.7,38.6,41.1,18.1,35.8,46.5,21.9,31.4,41.8,46.9,32.2,41.8,47.0,39.5,53.1,40.6,35.2,28.7,40.0,41.2,37.4,42.5
34.1,33.1,30.8,45.8,24.1,31.2,18.0,36.1,26.8,45.6,51.2,38.7,32.2,48.7,38.1,28.5,35.4,26.2,51.8,40.2,46.6,43.6,47.4,46.4
32.0,39.3,35.6,22.3,29.7,48.4,32.3,45.1,31.8,44.3,41.0,40.2,53.4,49.3,53.9,40.9,39.1,40.4,39.8,30.1,27.2,49.1,27.2,40.7
