M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
-1.0464,0.3452,0.6029,-0.0799,0.3238,-0.1513,-0.1401,-0.836,-0.2796,-0.3121,0.2991,0.4821,-1.51,-0.259,1.6551,1.8237,0.7753,2.2676,0.5432,0.7012,0.9145,2.2212,1.5962,-0.3711
0.5214,-0.4442,1.5632,0.4152,-1.222,-1.9488,0.208,-0.4653,0.1736,-0.9738,-0.4119,0.7672,0.8258,0.8108,-0.6426,-0.2919,2.1553,0.3252,1.3188,-0.9708,0.3792,-0.539,-0.6054,-2.1024
0.0508,-0.698,-1.0491,-0.7963,0.8669,-0.188,1.6219,-1.0356,0.0051,-0.8609,0.6041,0.9556,0.5694,0.44,-1.0236,1.2055,0.2645,-0.4016,-0.1159,2.0532,-0.3093,0.3263,1.5054,0.933
0.7261,0.4635,-1.0061,-0.2528,-0.0604,-0.1363,0.7153,0.3435,-0.3531,0.8553,0.0987,-0.16,0.3015,1.0582,0.7874,0.4877,0.516,0.4699,0.9457,2.0742,0.3283,1.0141,0.2698,0.8165
-0.6637,-1.0421,1.0038,-1.5007,-1.1104,0.0198,-0.6756,0.9372,0.4672,1.1724,1.8649,0.3075,0.8514,2.2544,2.2912,-0.6781,1.6696,1.2996,-0.4952,0.5702,1.0516,0.7651,1.4894,-1.6485
-0.8166,-0.4489,0.626,-0.5522,-1.8984,-1.7738,0.2944,0.8598,-0.1184,-0.5286,1.7959,0.234,1.12,0.1477,0.9061,-0.0629,0.4877,0.9264,-0.3751,-1.1161,0.6811,1.6207,0.1059,0.7823
0.8139,0.8966,0.0094,-0.2633,0.0485,0.3188,0.5808,-2.1809,-0.235,-0.0199,0.1217,0.2661,-0.5556,0.3247,0.3691,-0.0606,-0.0013,1.2994,0.5256,0.269,-0.6823,-0.2676,1.1646,-1.0586
-0.6595,-1.143,-0.9178,0.1512,-1.1607,-1.0316,-0.3872,0.0028,-1.2372,0.8872,1.3427,-1.6265,1.6563,-0.7674,1.0001,1.586,1.0189,2.4165,1.4391,0.8514,1.1591,0.0277,-0.4761,2.5362
0.0806,-1.4248,-0.8458,-1.2158,-1.5087,2.5539,-0.8111,1.3178,0.5077,-0.4157,-0.906,0.1838,1.5369,1.318,-0.623,1.7596,1.1925,-0.0267,1.8975,0.5026,1.5714,0.9709,-0.0157,1.3643
-0.5552,1.3494,0.4958,-0.2799,-2.4316,0.3518,-1.3918,0.0392,1.6892,1.6646,0.7373,0.5303,2.1055,-0.5642,-0.0327,2.1637,-0.475,-0.3965,1.9895,0.3589,1.0335,0.8843,0.944,0.3681
0.776,-0.6415,0.0224,0.6766,-0.575,-2.9143,1.4808,0.27,0.7208,-1.4646,-0.4637,0.7944,-1.9595,1.3731,-0.0832,0.3657,1.2784,1.0319,0.378,3.3149,1.3514,1.6462,0.6321,0.3837
-0.0003,1.6341,0.6369,-0.7072,1.2751,-0.9438,-0.6606,-0.8176,-1.0459,0.8287,-0.7343,-0.6103,-0.4031,1.3841,-0.452,-1.5855,0.402,-0.4981,1.2191,-2.3779,3.57,-0.9153,-1.4983,1.7419
-0.0349,0.2701,-1.005,-1.5662,-0.5441,1.1499,-0.2667,-2.7797,1.3146,-0.1853,-0.4279,0.0289,1.6631,1.0769,-0.1653,1.3717,1.7367,0.0325,1.5245,-0.3859,0.1016,-2.0356,0.8376,0.6625
-0.7928,0.318,-0.6276,-0.1485,-1.0011,1.3337,-0.7701,0.567,-1.0907,0.89,1.0099,-0.6045,0.7632,0.9286,1.848,-0.8793,1.4899,1.2281,0.4247,1.2627,-0.0537,0.487,0.8254,2.6865
0.27,0.3476,0.274,0.926,-0.0802,-0.916,0.2762,0.1126,-1.2676,-1.2227,-0.5428,1.0519,0.3193,1.9222,-0.3878,0.4434,2.0402,2.0033,0.6844,1.743,1.6346,-0.2392,-0.5596,-2.0601
0.3986,-0.3491,0.7415,-0.2321,0.0757,1.4591,-1.0473,-0.4816,-0.0875,-1.1522,-0.3699,-0.7638,-0.9868,0.9129,-0.2176,2.2746,0.8361,1.6626,-0.7855,0.5355,0.1706,-0.2107,0.3632,1.1689
-0.6168,0.0899,-0.6134,-0.4112,0.3931,-1.9079,0.225,1.1689,-0.8291,1.3077,-1.29,-0.0274,0.5845,0.3184,-1.5467,1.019,1.1429,0.6762,-0.0362,0.2905,-0.0089,-0.3484,0.7265,0.8119
-0.0515,0.7083,0.6683,-0.7167,-0.5201,-1.39,0.0796,-1.2248,1.0897,-0.4098,-0.6866,0.1833,0.1285,-0.4589,0.773,0.866,0.1151,-0.6574,1.5594,1.7133,0.3157,0.3969,1.5269,0.782
0.1841,0.3407,1.4952,2.1556,0.4181,1.3413,-0.1269,-1.5028,0.676,-1.4679,0.6716,0.2932,1.6898,1.729,0.2502,1.2992,0.8043,1.4475,1.9442,0.7362,-1.1593,0.5243,0.7858,-0.6763
-0.4196,-0.4698,0.9652,0.1953,1.4313,0.4923,1.0102,-0.6246,1.5769,-0.3689,-1.3899,1.4765,0.2781,1.1242,2.0535,0.3272,0.0991,1.6309,0.9812,1.0696,0.3142,-0.3462,0.1038,-0.5822
0.5833,0.8383,0.5365,0.6141,-0.3738,0.2569,-1.55,-1.9508,-0.093,0.5498,-0.3736,0.022,-1.1293,1.7486,-2.0693,0.8397,0.8753,-0.5798,0.1396,-0.1305,-1.6932,0.6426,-0.9367,0.4652
1.077,0.4239,0.4297,2.0154,-0.0505,0.8385,-0.0677,0.4722,1.438,-0.9857,-1.6426,-0.4745,0.2833,2.2428,2.2267,0.9744,1.3807,-0.5763,1.0136,-0.2769,0.1965,0.2842,2.1539,0.5397
-2.0555,-0.7548,0.7827,-0.1036,-0.3332,-0.4686,0.6819,-0.1352,0.404,2.463,-0.4185,0.3473,0.7692,2.1254,0.0868,0.687,-1.2709,-0.2651,-0.0311,0.3579,2.0421,-0.0846,-0.75,-0.2717
-0.5062,0.0185,-1.5125,0.7439,0.1729,0.609,-1.0879,-0.4726,0.5199,-2.3119,-0.6798,0.2564,1.3458,-0.5261,1.1105,0.0726,0.4443,-1.418,-0.5593,1.9056,1.6823,0.6877,-0.6041,0.9598
-1.8008,-2.0518,0.0943,1.3903,0.3818,0.0538,-0.189,-0.6817,0.3274,-0.8159,-0.0585,0.9667,1.3469,1.8799,1.3219,-1.5847,0.44,-0.8087,-0.3122,0.74,0.7561,1.7359,-1.0287,1.3985
0.7425,-0.6287,-0.0884,0.7405,1.0928,0.0367,0.4709,-0.3088,0.2497,-1.1201,0.5587,0.792,2.8125,2.2689,-1.0687,1.1649,-0.5781,1.4213,1.9778,0.8383,-0.4287,2.1245,0.1968,0.183
0.3545,0.1327,0.6063,0.4914,0.0519,-0.4848,0.4794,-0.0754,-0.2961,0.1722,-0.3435,-0.6133,-1.3167,0.4402,0.0926,0.156,0.485,3.1949,-0.5514,-0.2421,1.7135,0.5311,0.0731,1.1883
-0.1459,-0.4809,0.3512,-0.0595,-2.1301,0.1122,-0.473,-0.3756,-1.7865,-0.0681,0.3488,-1.5716,1.1478,2.0281,2.3712,0.1031,0.2067,2.0218,0.5699,0.9892,-0.443,-0.4376,0.7109,-0.323
-0.8763,0.2083,0.99,-1.6203,0.9964,0.2636,-0.0943,-0.3434,-0.8032,0.8089,1.2851,-0.7756,-0.5939,-1.9798,0.6608,1.43,0.3532,1.2666,0.3566,2.6908,-0.2846,0.1702,1.5441,-0.1577
-0.3839,-0.4776,1.0272,-0.9426,1.3813,0.235,0.8299,-0.1526,-0.3509,-0.5814,-1.7221,-1.9405,1.1065,0.7096,0.7564,-0.0714,-0.4138,-0.1604,-0.3081,1.7985,0.3181,0.1289,-0.5045,0.9146
